school_logo_id,institution_type,institution_name,institution_section,logo_file_name
SCLG000001,school,البطريركيّة اللاتينيّة,,SCLG000001.png
SCLG000002,school,أكاديميّة كاترينا للأطفال,,SCLG000002.png
SCLG000003,school,كليّة دي لاسال - الفرير,,SCLG000003.png
SCLG000004,school,المدرسة الإنجليزيّة الحديثة,,SCLG000004.png
UNLG000001,university,جامعة الحسين التقنيّة,,UNLG000001.png
UNLG000002,university,الجامعة الهاشميّة,,UNLG000002.png
UNLG000003,university,جامعة البلقاء التطبيقيّة,,UNLG000003.png
UNLG000004,university,جامعة العلوم والتكنولوجيا الأردنيّة,,UNLG000004.png
SCLG000005,school,أكاديميّة لوريت,,SCLG000005.png
SCLG000006,school,الأردنيّة الدوليّة,,SCLG000006.png
SCLG000007,school,الأسقفيّة الإنجيليّة العربيّة,,SCLG000007.png
UNLG000005,university,جامعة مؤتة,,UNLG000005.png
UNLG000006,university,الجامعة الأردنيّة,,UNLG000006.png
COLG000001,company,الأمانة العامة للشبيبة المسيحية / النيابة البطريركيّة اللاتينيّة,,COLG000001.png
COLG000002,company,كابيتال بنك,,COLG000002.png
COLG000003,company,Caritas,,COLG000003.png
COLG000004,company,البنك العربي,,COLG000004.png
COLG000005,company,مدفوعاتكم,,COLG000005.png
COLG000006,company,Amazon,,COLG000006.png
COLG000007,company,بنك الإسكان,,COLG000007.png
COLG000008,company,بنك الإتحاد,,COLG000008.png
COLG000009,company,Concentrix,,COLG000009.png
COLG000010,company,مدارس البطريركيّة اللاتينيّة,,COLG000010.png
COLG000011,company,كلّية دي لا سال - الفرير,,COLG000011.png
COLG000012,company,مدارس البطريركيّة اللاتينيّة - الزرقاء الجنوبي,,COLG000012.png
COLG000013,company,كنيسة مار يوسف - جبل عمان,,COLG000013.png
