period_id,from_node_id,to_node_id,edge_type
OTPD000013,OTND00000221,OTND00000231,hierarchy
OTPD000013,OTND00000221,OTND00000232,hierarchy
OTPD000013,OTND00000221,OTND00000233,hierarchy
OTPD000013,OTND00000222,OTND00000234,hierarchy
OTPD000013,OTND00000222,OTND00000235,hierarchy
OTPD000013,OTND00000222,OTND00000236,hierarchy
OTPD000013,OTND00000222,OTND00000237,hierarchy
OTPD000013,OTND00000223,OTND00000238,hierarchy
OTPD000013,OTND00000223,OTND00000239,hierarchy
OTPD000013,OTND00000223,OTND00000240,hierarchy
OTPD000013,OTND00000223,OTND00000241,hierarchy
OTPD000013,OTND00000224,OTND00000242,hierarchy
OTPD000013,OTND00000224,OTND00000243,hierarchy
OTPD000013,OTND00000224,OTND00000244,hierarchy
OTPD000013,OTND00000224,OTND00000245,hierarchy
OTPD000013,OTND00000225,OTND00000242,hierarchy
OTPD000013,OTND00000225,OTND00000243,hierarchy
OTPD000013,OTND00000225,OTND00000244,hierarchy
OTPD000013,OTND00000225,OTND00000245,hierarchy
OTPD000013,OTND00000226,OTND00000246,hierarchy
OTPD000013,OTND00000226,OTND00000247,hierarchy
OTPD000013,OTND00000226,OTND00000248,hierarchy
OTPD000013,OTND00000226,OTND00000249,hierarchy
OTPD000014,OTND00000253,OTND00000263,hierarchy
OTPD000014,OTND00000253,OTND00000264,hierarchy
OTPD000014,OTND00000253,OTND00000265,hierarchy
OTPD000014,OTND00000254,OTND00000266,hierarchy
OTPD000014,OTND00000254,OTND00000267,hierarchy
OTPD000014,OTND00000254,OTND00000268,hierarchy
OTPD000014,OTND00000254,OTND00000269,hierarchy
OTPD000014,OTND00000255,OTND00000270,hierarchy
OTPD000014,OTND00000255,OTND00000271,hierarchy
OTPD000014,OTND00000255,OTND00000272,hierarchy
OTPD000014,OTND00000255,OTND00000273,hierarchy
OTPD000014,OTND00000256,OTND00000274,hierarchy
OTPD000014,OTND00000256,OTND00000275,hierarchy
OTPD000014,OTND00000256,OTND00000276,hierarchy
OTPD000014,OTND00000256,OTND00000277,hierarchy
OTPD000014,OTND00000257,OTND00000274,hierarchy
OTPD000014,OTND00000257,OTND00000275,hierarchy
OTPD000014,OTND00000257,OTND00000276,hierarchy
OTPD000014,OTND00000257,OTND00000277,hierarchy
OTPD000014,OTND00000258,OTND00000278,hierarchy
OTPD000014,OTND00000258,OTND00000279,hierarchy
OTPD000014,OTND00000258,OTND00000280,hierarchy
OTPD000014,OTND00000258,OTND00000281,hierarchy
OTPD000015,OTND00000284,OTND00000292,hierarchy
OTPD000015,OTND00000284,OTND00000293,hierarchy
OTPD000015,OTND00000284,OTND00000294,hierarchy
OTPD000015,OTND00000285,OTND00000295,hierarchy
OTPD000015,OTND00000285,OTND00000296,hierarchy
OTPD000015,OTND00000285,OTND00000297,hierarchy
OTPD000015,OTND00000285,OTND00000298,hierarchy
OTPD000015,OTND00000286,OTND00000299,hierarchy
OTPD000015,OTND00000286,OTND00000300,hierarchy
OTPD000015,OTND00000286,OTND00000301,hierarchy
OTPD000015,OTND00000286,OTND00000302,hierarchy
OTPD000015,OTND00000288,OTND00000305,hierarchy
OTPD000015,OTND00000288,OTND00000306,hierarchy
OTPD000015,OTND00000288,OTND00000307,hierarchy
OTPD000015,OTND00000288,OTND00000308,hierarchy
OTPD000016,OTND00000314,OTND00000324,hierarchy
OTPD000016,OTND00000314,OTND00000325,hierarchy
OTPD000016,OTND00000314,OTND00000326,hierarchy
OTPD000016,OTND00000315,OTND00000327,hierarchy
OTPD000016,OTND00000315,OTND00000328,hierarchy
OTPD000016,OTND00000315,OTND00000329,hierarchy
OTPD000016,OTND00000315,OTND00000330,hierarchy
OTPD000016,OTND00000316,OTND00000331,hierarchy
OTPD000016,OTND00000316,OTND00000332,hierarchy
OTPD000016,OTND00000316,OTND00000333,hierarchy
OTPD000016,OTND00000316,OTND00000334,hierarchy
OTPD000016,OTND00000317,OTND00000335,hierarchy
OTPD000016,OTND00000317,OTND00000336,hierarchy
OTPD000016,OTND00000317,OTND00000337,hierarchy
OTPD000016,OTND00000317,OTND00000338,hierarchy
OTPD000016,OTND00000318,OTND00000335,hierarchy
OTPD000016,OTND00000318,OTND00000336,hierarchy
OTPD000016,OTND00000318,OTND00000337,hierarchy
OTPD000016,OTND00000318,OTND00000338,hierarchy
OTPD000016,OTND00000319,OTND00000339,hierarchy
OTPD000016,OTND00000319,OTND00000340,hierarchy
OTPD000016,OTND00000319,OTND00000341,hierarchy
OTPD000016,OTND00000319,OTND00000342,hierarchy
OTPD000017,OTND00000345,OTND00000354,hierarchy
OTPD000017,OTND00000345,OTND00000355,hierarchy
OTPD000017,OTND00000345,OTND00000356,hierarchy
OTPD000017,OTND00000346,OTND00000360,hierarchy
OTPD000017,OTND00000346,OTND00000361,hierarchy
OTPD000017,OTND00000346,OTND00000362,hierarchy
OTPD000017,OTND00000346,OTND00000363,hierarchy
OTPD000017,OTND00000347,OTND00000364,hierarchy
OTPD000017,OTND00000347,OTND00000365,hierarchy
OTPD000017,OTND00000347,OTND00000366,hierarchy
OTPD000017,OTND00000347,OTND00000367,hierarchy
OTPD000017,OTND00000348,OTND00000364,hierarchy
OTPD000017,OTND00000348,OTND00000365,hierarchy
OTPD000017,OTND00000348,OTND00000366,hierarchy
OTPD000017,OTND00000348,OTND00000367,hierarchy
OTPD000017,OTND00000349,OTND00000368,hierarchy
OTPD000017,OTND00000349,OTND00000369,hierarchy
OTPD000017,OTND00000349,OTND00000370,hierarchy
OTPD000017,OTND00000349,OTND00000371,hierarchy
OTPD000018,OTND00000373,OTND00000378,hierarchy
OTPD000018,OTND00000373,OTND00000379,hierarchy
OTPD000018,OTND00000373,OTND00000380,hierarchy
OTPD000018,OTND00000374,OTND00000384,hierarchy
OTPD000018,OTND00000374,OTND00000385,hierarchy
OTPD000018,OTND00000374,OTND00000386,hierarchy
OTPD000018,OTND00000374,OTND00000387,hierarchy
OTPD000018,OTND00000375,OTND00000388,hierarchy
OTPD000018,OTND00000375,OTND00000389,hierarchy
OTPD000018,OTND00000375,OTND00000390,hierarchy
OTPD000018,OTND00000375,OTND00000391,hierarchy
OTPD000018,OTND00000376,OTND00000388,hierarchy
OTPD000018,OTND00000376,OTND00000389,hierarchy
OTPD000018,OTND00000376,OTND00000390,hierarchy
OTPD000018,OTND00000376,OTND00000391,hierarchy
OTPD000018,OTND00000377,OTND00000392,hierarchy
OTPD000018,OTND00000377,OTND00000393,hierarchy
OTPD000018,OTND00000377,OTND00000394,hierarchy
OTPD000018,OTND00000377,OTND00000395,hierarchy
OTPD000019,OTND00000402,OTND00000410,hierarchy
OTPD000019,OTND00000402,OTND00000411,hierarchy
OTPD000019,OTND00000402,OTND00000412,hierarchy
OTPD000019,OTND00000403,OTND00000413,hierarchy
OTPD000019,OTND00000403,OTND00000414,hierarchy
OTPD000019,OTND00000403,OTND00000415,hierarchy
OTPD000019,OTND00000403,OTND00000416,hierarchy
OTPD000019,OTND00000404,OTND00000417,hierarchy
OTPD000019,OTND00000404,OTND00000418,hierarchy
OTPD000019,OTND00000404,OTND00000419,hierarchy
OTPD000019,OTND00000404,OTND00000420,hierarchy
OTPD000019,OTND00000406,OTND00000423,hierarchy
OTPD000019,OTND00000406,OTND00000424,hierarchy
OTPD000019,OTND00000406,OTND00000425,hierarchy
OTPD000019,OTND00000406,OTND00000426,hierarchy
OTPD000020,OTND00000431,OTND00000436,hierarchy
OTPD000020,OTND00000431,OTND00000437,hierarchy
OTPD000020,OTND00000431,OTND00000438,hierarchy
OTPD000020,OTND00000432,OTND00000442,hierarchy
OTPD000020,OTND00000432,OTND00000443,hierarchy
OTPD000020,OTND00000432,OTND00000444,hierarchy
OTPD000020,OTND00000432,OTND00000445,hierarchy
OTPD000020,OTND00000433,OTND00000446,hierarchy
OTPD000020,OTND00000433,OTND00000447,hierarchy
OTPD000020,OTND00000433,OTND00000448,hierarchy
OTPD000020,OTND00000433,OTND00000449,hierarchy
OTPD000020,OTND00000434,OTND00000446,hierarchy
OTPD000020,OTND00000434,OTND00000447,hierarchy
OTPD000020,OTND00000434,OTND00000448,hierarchy
OTPD000020,OTND00000434,OTND00000449,hierarchy
OTPD000020,OTND00000435,OTND00000450,hierarchy
OTPD000020,OTND00000435,OTND00000451,hierarchy
OTPD000020,OTND00000435,OTND00000452,hierarchy
OTPD000020,OTND00000435,OTND00000453,hierarchy
OTPD000001,OTND00000001,OTND00000002,peer
OTPD000001,OTND00000001,OTND00000003,hierarchy
OTPD000001,OTND00000001,OTND00000004,hierarchy
OTPD000001,OTND00000001,OTND00000007,hierarchy
OTPD000001,OTND00000001,OTND00000010,hierarchy
OTPD000001,OTND00000001,OTND00000013,hierarchy
OTPD000001,OTND00000001,OTND00000016,hierarchy
OTPD000001,OTND00000001,OTND00000017,hierarchy
OTPD000001,OTND00000001,OTND00000018,hierarchy
OTPD000001,OTND00000001,OTND00000019,hierarchy
OTPD000001,OTND00000001,OTND00000020,hierarchy
OTPD000001,OTND00000001,OTND00000021,hierarchy
OTPD000001,OTND00000001,OTND00000022,hierarchy
OTPD000001,OTND00000004,OTND00000005,hierarchy
OTPD000001,OTND00000004,OTND00000006,hierarchy
OTPD000001,OTND00000007,OTND00000008,hierarchy
OTPD000001,OTND00000007,OTND00000009,hierarchy
OTPD000001,OTND00000010,OTND00000011,hierarchy
OTPD000001,OTND00000010,OTND00000012,hierarchy
OTPD000001,OTND00000013,OTND00000014,hierarchy
OTPD000001,OTND00000013,OTND00000015,hierarchy
OTPD000002,OTND00000058,OTND00000059,peer
OTPD000002,OTND00000058,OTND00000023,hierarchy
OTPD000002,OTND00000058,OTND00000027,hierarchy
OTPD000002,OTND00000058,OTND00000030,hierarchy
OTPD000002,OTND00000058,OTND00000033,hierarchy
OTPD000002,OTND00000058,OTND00000034,hierarchy
OTPD000002,OTND00000058,OTND00000041,hierarchy
OTPD000002,OTND00000058,OTND00000046,hierarchy
OTPD000002,OTND00000058,OTND00000052,hierarchy
OTPD000002,OTND00000058,OTND00000055,hierarchy
OTPD000002,OTND00000058,OTND00000056,hierarchy
OTPD000002,OTND00000058,OTND00000057,hierarchy
OTPD000002,OTND00000041,OTND00000042,hierarchy
OTPD000002,OTND00000041,OTND00000043,hierarchy
OTPD000002,OTND00000041,OTND00000044,hierarchy
OTPD000002,OTND00000041,OTND00000045,hierarchy
OTPD000002,OTND00000046,OTND00000047,hierarchy
OTPD000002,OTND00000046,OTND00000048,hierarchy
OTPD000002,OTND00000046,OTND00000049,hierarchy
OTPD000002,OTND00000046,OTND00000050,hierarchy
OTPD000002,OTND00000046,OTND00000051,hierarchy
OTPD000002,OTND00000052,OTND00000053,hierarchy
OTPD000002,OTND00000052,OTND00000054,hierarchy
OTPD000002,OTND00000023,OTND00000024,hierarchy
OTPD000002,OTND00000023,OTND00000025,hierarchy
OTPD000002,OTND00000023,OTND00000026,hierarchy
OTPD000002,OTND00000027,OTND00000028,hierarchy
OTPD000002,OTND00000027,OTND00000029,hierarchy
OTPD000002,OTND00000030,OTND00000031,hierarchy
OTPD000002,OTND00000030,OTND00000032,hierarchy
OTPD000002,OTND00000033,OTND00000035,hierarchy
OTPD000002,OTND00000034,OTND00000035,hierarchy
OTPD000002,OTND00000033,OTND00000036,hierarchy
OTPD000002,OTND00000034,OTND00000036,hierarchy
OTPD000002,OTND00000033,OTND00000037,hierarchy
OTPD000002,OTND00000034,OTND00000037,hierarchy
OTPD000002,OTND00000033,OTND00000038,hierarchy
OTPD000002,OTND00000034,OTND00000038,hierarchy
OTPD000002,OTND00000033,OTND00000039,hierarchy
OTPD000002,OTND00000034,OTND00000039,hierarchy
OTPD000002,OTND00000033,OTND00000040,hierarchy
OTPD000002,OTND00000034,OTND00000040,hierarchy
OTPD000002,OTND00000060,OTND00000033,peer
OTPD000002,OTND00000060,OTND00000034,peer
OTPD000002,OTND00000061,OTND00000030,peer
OTPD000002,OTND00000062,OTND00000027,peer
OTPD000002,OTND00000063,OTND00000023,peer
OTPD000003,OTND00000064,OTND00000065,hierarchy
OTPD000003,OTND00000064,OTND00000066,hierarchy
OTPD000003,OTND00000064,OTND00000067,hierarchy
OTPD000003,OTND00000064,OTND00000068,hierarchy
OTPD000003,OTND00000064,OTND00000069,hierarchy
OTPD000003,OTND00000064,OTND00000070,hierarchy
OTPD000004,OTND00000071,OTND00000072,peer
OTPD000004,OTND00000071,OTND00000073,hierarchy
OTPD000005,OTND00000076,OTND00000074,peer
OTPD000005,OTND00000074,OTND00000075,hierarchy
OTPD000005,OTND00000076,OTND00000077,hierarchy
OTPD000005,OTND00000076,OTND00000078,hierarchy
OTPD000005,OTND00000076,OTND00000079,hierarchy
