period_id,node_id,hull
OTPD000001,OTND00000001,مجلس الشبيبة
OTPD000001,OTND00000002,مجلس الشبيبة
OTPD000001,OTND00000003,مجلس الشبيبة
OTPD000001,OTND00000004,مجلس الشبيبة
OTPD000001,OTND00000004,مجلس فئتيّ الجامعيّة والعاملة
OTPD000001,OTND00000005,مجلس فئتيّ الجامعيّة والعاملة
OTPD000001,OTND00000006,مجلس فئتيّ الجامعيّة والعاملة
OTPD000001,OTND00000007,مجلس الشبيبة
OTPD000001,OTND00000007,مجلس فئة الثانوي
OTPD000001,OTND00000008,مجلس فئة الثانوي
OTPD000001,OTND00000009,مجلس فئة الثانوي
OTPD000001,OTND00000010,مجلس الشبيبة
OTPD000001,OTND00000010,مجلس فئة الإعدادي
OTPD000001,OTND00000011,مجلس فئة الإعدادي
OTPD000001,OTND00000012,مجلس فئة الإعدادي
OTPD000001,OTND00000013,مجلس الشبيبة
OTPD000001,OTND00000013,مجلس فئة البراعم
OTPD000001,OTND00000014,مجلس فئة البراعم
OTPD000001,OTND00000015,مجلس فئة البراعم
OTPD000001,OTND00000016,مجلس الشبيبة
OTPD000001,OTND00000017,مجلس الشبيبة
OTPD000001,OTND00000018,مجلس الشبيبة
OTPD000001,OTND00000018,اللجنة الإعلاميّة
OTPD000001,OTND00000019,مجلس الشبيبة
OTPD000001,OTND00000019,اللجنة الإعلاميّة
OTPD000001,OTND00000020,مجلس الشبيبة
OTPD000001,OTND00000020,اللجنة الإعلاميّة
OTPD000001,OTND00000021,مجلس الشبيبة
OTPD000001,OTND00000021,لجنة المساندة العامة
OTPD000001,OTND00000022,مجلس الشبيبة
OTPD000001,OTND00000022,لجنة المساندة العامة
OTPD000002,OTND00000023,مجلس الشبيبة
OTPD000002,OTND00000023,مجلس فئتيّ الجامعيّة والعاملة
OTPD000002,OTND00000024,مجلس فئتيّ الجامعيّة والعاملة
OTPD000002,OTND00000025,مجلس فئتيّ الجامعيّة والعاملة
OTPD000002,OTND00000026,مجلس فئتيّ الجامعيّة والعاملة
OTPD000002,OTND00000027,مجلس الشبيبة
OTPD000002,OTND00000027,مجلس فئة الثانوي
OTPD000002,OTND00000028,مجلس فئة الثانوي
OTPD000002,OTND00000029,مجلس فئة الثانوي
OTPD000002,OTND00000030,مجلس الشبيبة
OTPD000002,OTND00000030,مجلس فئة الإعدادي
OTPD000002,OTND00000031,مجلس فئة الإعدادي
OTPD000002,OTND00000032,مجلس فئة الإعدادي
OTPD000002,OTND00000033,مجلس الشبيبة
OTPD000002,OTND00000033,مجلس فئة البراعم
OTPD000002,OTND00000034,مجلس الشبيبة
OTPD000002,OTND00000034,مجلس فئة البراعم
OTPD000002,OTND00000035,مجلس فئة البراعم
OTPD000002,OTND00000036,مجلس فئة البراعم
OTPD000002,OTND00000037,مجلس فئة البراعم
OTPD000002,OTND00000038,مجلس فئة البراعم
OTPD000002,OTND00000039,مجلس فئة البراعم
OTPD000002,OTND00000040,مجلس فئة البراعم
OTPD000002,OTND00000041,مجلس الشبيبة
OTPD000002,OTND00000041,اللجنة الإعلاميّة
OTPD000002,OTND00000042,اللجنة الإعلاميّة
OTPD000002,OTND00000043,اللجنة الإعلاميّة
OTPD000002,OTND00000044,اللجنة الإعلاميّة
OTPD000002,OTND00000045,اللجنة الإعلاميّة
OTPD000002,OTND00000046,مجلس الشبيبة
OTPD000002,OTND00000046,اللجنة الاجتماعيّة و لجنة الخدمة
OTPD000002,OTND00000047,اللجنة الاجتماعيّة و لجنة الخدمة
OTPD000002,OTND00000048,اللجنة الاجتماعيّة و لجنة الخدمة
OTPD000002,OTND00000049,اللجنة الاجتماعيّة و لجنة الخدمة
OTPD000002,OTND00000050,اللجنة الاجتماعيّة و لجنة الخدمة
OTPD000002,OTND00000051,اللجنة الاجتماعيّة و لجنة الخدمة
OTPD000002,OTND00000052,مجلس الشبيبة
OTPD000002,OTND00000052,اللجنة الفنيّة
OTPD000002,OTND00000053,اللجنة الفنيّة
OTPD000002,OTND00000054,اللجنة الفنيّة
OTPD000002,OTND00000055,مجلس الشبيبة
OTPD000002,OTND00000056,مجلس الشبيبة
OTPD000002,OTND00000057,مجلس الشبيبة
OTPD000002,OTND00000058,مجلس الشبيبة
OTPD000002,OTND00000059,مجلس الشبيبة
OTPD000002,OTND00000060,مجلس الشبيبة
OTPD000002,OTND00000060,مجلس فئة البراعم
OTPD000002,OTND00000061,مجلس الشبيبة
OTPD000002,OTND00000061,مجلس فئة الإعدادي
OTPD000002,OTND00000062,مجلس الشبيبة
OTPD000002,OTND00000062,مجلس فئة الثانوي
OTPD000002,OTND00000063,مجلس الشبيبة
OTPD000002,OTND00000063,مجلس فئتيّ الجامعيّة والعاملة
OTPD000003,OTND00000064,مجلس الشبيبة
OTPD000003,OTND00000065,مجلس الشبيبة
OTPD000003,OTND00000065,مجلس فئتيّ الجامعيّة والعاملة
OTPD000003,OTND00000066,مجلس الشبيبة
OTPD000003,OTND00000066,مجلس فئتيّ الإعدادي والثانوي
OTPD000003,OTND00000067,مجلس الشبيبة
OTPD000003,OTND00000067,اللجنة الإعلاميّة
OTPD000003,OTND00000068,مجلس الشبيبة
OTPD000003,OTND00000068,اللجنة اللوجستية
OTPD000003,OTND00000069,مجلس الشبيبة
OTPD000003,OTND00000070,مجلس الشبيبة
OTPD000003,OTND00000070,مجلس فئة البراعم
OTPD000004,OTND00000071,مجلس الشبيبة
OTPD000004,OTND00000072,مجلس الشبيبة
OTPD000004,OTND00000073,مجلس الشبيبة
OTPD000004,OTND00000073,مجلس فئة البراعم
OTPD000005,OTND00000074,مجلس الشبيبة
OTPD000005,OTND00000075,مجلس الشبيبة
OTPD000005,OTND00000076,مجلس الشبيبة
OTPD000005,OTND00000077,مجلس الشبيبة
OTPD000005,OTND00000078,مجلس الشبيبة
OTPD000005,OTND00000078,مجلس فئة العاملة
OTPD000005,OTND00000079,مجلس الشبيبة
OTPD000005,OTND00000079,مجلس فئة الجامعيّة
OTPD000005,OTND00000080,مجلس الشبيبة
OTPD000005,OTND00000080,مجلس فئة الثانوي
OTPD000005,OTND00000081,مجلس الشبيبة
OTPD000005,OTND00000081,مجلس فئة الإعدادي
OTPD000005,OTND00000082,مجلس الشبيبة
OTPD000005,OTND00000082,مجلس فئة البراعم
OTPD000005,OTND00000083,مجلس الشبيبة
OTPD000005,OTND00000083,لجنة العلاقات العامة
OTPD000005,OTND00000084,مجلس الشبيبة
OTPD000005,OTND00000085,مجلس الشبيبة
OTPD000005,OTND00000086,مجلس الشبيبة
OTPD000005,OTND00000086,اللجنة الإعلاميّة
OTPD000005,OTND00000087,مجلس الشبيبة
OTPD000005,OTND00000087,اللجنة الترفيهيّة و لجنة المساندة العامة
OTPD000006,OTND00000088,مجلس الشبيبة
OTPD000006,OTND00000089,مجلس الشبيبة
OTPD000006,OTND00000090,مجلس الشبيبة
OTPD000006,OTND00000090,مجلس فئة الجامعيّة
OTPD000006,OTND00000091,مجلس الشبيبة
OTPD000006,OTND00000091,مجلس فئة الجامعيّة
OTPD000006,OTND00000092,مجلس الشبيبة
OTPD000006,OTND00000092,مجلس فئة الثانوي
OTPD000006,OTND00000093,مجلس الشبيبة
OTPD000006,OTND00000093,مجلس فئة الثانوي
OTPD000006,OTND00000094,مجلس الشبيبة
OTPD000006,OTND00000094,مجلس فئة الإعدادي
OTPD000006,OTND00000095,مجلس الشبيبة
OTPD000006,OTND00000095,مجلس فئة الإعدادي
