period_id,node_id,person_id,role
OTPD000001,OTND00000001,647,المسؤول العام
OTPD000001,OTND00000002,3104,المرشد الروحي
OTPD000001,OTND00000003,339,نائب المسؤول العام
OTPD000001,OTND00000004,647,مسؤول فئتيّ الجامعيّة والعاملة
OTPD000001,OTND00000005,339,مجلس فئتيّ الجامعيّة والعاملة
OTPD000001,OTND00000006,812,مجلس فئتيّ الجامعيّة والعاملة
OTPD000001,OTND00000007,274,مسؤول فئة الثانوي
OTPD000001,OTND00000008,47,مجلس فئة الثانوي
OTPD000001,OTND00000009,119,مجلس فئة الثانوي
OTPD000001,OTND00000010,764,مسؤول فئة الإعدادي
OTPD000001,OTND00000011,801,مجلس فئة الإعدادي
OTPD000001,OTND00000012,235,مجلس فئة الإعدادي
OTPD000001,OTND00000013,763,مسؤول فئة البراعم
OTPD000001,OTND00000014,289,مجلس فئة البراعم
OTPD000001,OTND00000015,288,مجلس فئة البراعم
OTPD000001,OTND00000016,801,أمين الصندوق
OTPD000001,OTND00000017,274,أمين السر
OTPD000001,OTND00000018,647,مسؤول اللجنة الإعلاميّة
OTPD000001,OTND00000019,764,مسؤول اللجنة الإعلاميّة
OTPD000001,OTND00000020,762,مسؤول اللجنة الإعلاميّة
OTPD000001,OTND00000021,761,مسؤول لجنة المساندة العامة
OTPD000001,OTND00000022,119,مسؤول لجنة المساندة العامة
OTPD000002,OTND00000023,1273,مسؤول فئتيّ الجامعيّة والعاملة
OTPD000002,OTND00000024,1271,مجلس فئتيّ الجامعيّة والعاملة
OTPD000002,OTND00000025,594,مجلس فئتيّ الجامعيّة والعاملة
OTPD000002,OTND00000026,3077,مجلس فئتيّ الجامعيّة والعاملة
OTPD000002,OTND00000027,590,مسؤول فئة الثانوي
OTPD000002,OTND00000028,218,مجلس فئة الثانوي
OTPD000002,OTND00000029,314,مجلس فئة الثانوي
OTPD000002,OTND00000030,101,مسؤول فئة الإعدادي
OTPD000002,OTND00000031,584,مجلس فئة الإعدادي
OTPD000002,OTND00000032,701,مجلس فئة الإعدادي
OTPD000002,OTND00000033,53,مسؤول فئة البراعم
OTPD000002,OTND00000034,202,مسؤول فئة البراعم
OTPD000002,OTND00000035,151,مجلس فئة البراعم
OTPD000002,OTND00000036,85,مجلس فئة البراعم
OTPD000002,OTND00000037,23,مجلس فئة البراعم
OTPD000002,OTND00000038,747,مجلس فئة البراعم
OTPD000002,OTND00000039,2267,مجلس فئة البراعم
OTPD000002,OTND00000040,600,مجلس فئة البراعم
OTPD000002,OTND00000041,293,مسؤول اللجنة الإعلاميّة
OTPD000002,OTND00000042,188,اللجنة الإعلاميّة
OTPD000002,OTND00000043,296,اللجنة الإعلاميّة
OTPD000002,OTND00000044,320,اللجنة الإعلاميّة
OTPD000002,OTND00000045,323,اللجنة الإعلاميّة
OTPD000002,OTND00000046,301,مسؤول اللجنة الاجتماعيّة و لجنة الخدمة
OTPD000002,OTND00000047,21,اللجنة الاجتماعيّة و لجنة الخدمة
OTPD000002,OTND00000048,278,اللجنة الاجتماعيّة و لجنة الخدمة
OTPD000002,OTND00000049,176,اللجنة الاجتماعيّة و لجنة الخدمة
OTPD000002,OTND00000050,130,اللجنة الاجتماعيّة و لجنة الخدمة
OTPD000002,OTND00000051,109,اللجنة الاجتماعيّة و لجنة الخدمة
OTPD000002,OTND00000052,32,مسؤول اللجنة الفنيّة
OTPD000002,OTND00000053,192,اللجنة الفنيّة
OTPD000002,OTND00000054,264,اللجنة الفنيّة
OTPD000002,OTND00000055,151,أمين الصندوق
OTPD000002,OTND00000056,594,أمين السر
OTPD000002,OTND00000057,202,أمين العهدة
OTPD000002,OTND00000058,3094,المسؤول العام
OTPD000002,OTND00000059,3095,المرشد الروحي
OTPD000002,OTND00000060,3096,مرشد روحي فئة البراعم
OTPD000002,OTND00000061,3096,مرشد روحي فئة الإعدادي
OTPD000002,OTND00000062,3097,مرشد روحي فئة الثانوي
OTPD000002,OTND00000063,3097,مرشد روحي فئتيّ الجامعيّة والعاملة
OTPD000003,OTND00000064,24,المسؤول العام
OTPD000003,OTND00000065,59,مسؤول فئتيّ الجامعيّة والعاملة
OTPD000003,OTND00000066,281,مسؤول فئتيّ الإعدادي والثانوي
OTPD000003,OTND00000067,3009,مسؤول اللجنة الإعلاميّة
OTPD000003,OTND00000068,252,مسؤول اللجنة اللوجستية
OTPD000003,OTND00000069,252,أمين الصندوق
OTPD000003,OTND00000070,3100,مسؤول فئة البراعم
OTPD000004,OTND00000071,8,المسؤول العام
OTPD000004,OTND00000072,3102,المرشد الروحي
OTPD000004,OTND00000073,1364,مسؤول فئة البراعم
OTPD000005,OTND00000074,3174,المرشد الروحي
OTPD000005,OTND00000075,3175,مساعد المرشد الروحي
OTPD000005,OTND00000076,1126,المسؤول العام
OTPD000005,OTND00000077,127,نائب المسؤول العام
OTPD000005,OTND00000078,145,مسؤول فئة العاملة
OTPD000005,OTND00000079,705,مسؤول فئة الجامعيّة
OTPD000005,OTND00000080,265,مسؤول فئة الثانوي
OTPD000005,OTND00000081,227,مسؤول فئة الإعدادي
OTPD000005,OTND00000082,254,مسؤول فئة البراعم
OTPD000005,OTND00000083,807,مسؤول لجنة العلاقات العامة
OTPD000005,OTND00000084,1304,أمين السر
OTPD000005,OTND00000085,680,أمين الصندوق
OTPD000005,OTND00000086,3176,مسؤول اللجنة الإعلاميّة
OTPD000005,OTND00000087,863,مسؤول اللجنة الترفيهيّة و لجنة المساندة العامة
OTPD000006,OTND00000088,1621,المسؤول العام
OTPD000006,OTND00000089,3111,المرشد الروحي
OTPD000006,OTND00000090,277,مسؤول فئة الجامعيّة
OTPD000006,OTND00000091,1245,مسؤول فئة الجامعيّة
OTPD000006,OTND00000092,88,مسؤول فئة الثانوي
OTPD000006,OTND00000093,1244,مسؤول فئة الثانوي
OTPD000006,OTND00000094,158,مسؤول فئة الإعدادي
OTPD000006,OTND00000095,40,مسؤول فئة الإعدادي
OTPD000006,OTND00000096,152,مسؤول فئة البراعم
OTPD000006,OTND00000097,217,مسؤول فئة البراعم
OTPD000006,OTND00000098,1308,مسؤول اللجنة الفنيّة
OTPD000006,OTND00000099,1630,مسؤول اللجنة الإعلاميّة
OTPD000007,OTND00000100,3168,المرشد الروحي
OTPD000007,OTND00000101,239,المسؤول العام
OTPD000007,OTND00000102,3169,مساعد المرشد الروحي
OTPD000007,OTND00000103,3170,مسؤول فئتيّ الجامعيّة والعاملة
OTPD000007,OTND00000104,966,مجلس فئتيّ الجامعيّة والعاملة
OTPD000007,OTND00000105,309,مسؤول فئة الثانوي
OTPD000007,OTND00000106,208,مجلس فئة الثانوي
OTPD000007,OTND00000107,980,مسؤول فئة الإعدادي
OTPD000007,OTND00000108,989,مسؤول فئة الإعدادي
OTPD000007,OTND00000109,1317,مجلس فئة الإعدادي
OTPD000007,OTND00000110,1284,مجلس فئة الإعدادي
OTPD000007,OTND00000111,978,مسؤول فئة البراعم
OTPD000007,OTND00000112,981,مسؤول فئة البراعم
OTPD000007,OTND00000113,1634,مجلس فئة البراعم
OTPD000007,OTND00000114,3171,مجلس فئة البراعم
OTPD000007,OTND00000115,844,مجلس فئة البراعم
OTPD000007,OTND00000116,1518,مجلس فئة البراعم
OTPD000007,OTND00000117,51,مجلس فئة البراعم
OTPD000007,OTND00000118,3172,مجلس فئة البراعم
OTPD000007,OTND00000119,915,مجلس فئة البراعم
OTPD000007,OTND00000120,1372,مجلس فئة البراعم
OTPD000007,OTND00000121,238,مجلس فئة البراعم
OTPD000007,OTND00000122,1276,أمين السر
OTPD000007,OTND00000123,51,مسؤول لجنة الخدمة
OTPD000007,OTND00000124,980,لجنة الخدمة
OTPD000007,OTND00000125,966,لجنة الخدمة
OTPD000007,OTND00000126,309,لجنة الخدمة
OTPD000007,OTND00000127,144,مسؤول اللجنة الإعلاميّة
OTPD000007,OTND00000128,979,اللجنة الإعلاميّة
OTPD000007,OTND00000129,79,أمين الصندوق
OTPD000007,OTND00000130,1312,أمين العهدة
OTPD000007,OTND00000131,1317,مساعد أمين العهدة
OTPD000007,OTND00000132,836,مسؤول لجنة التدريب والتطوير
OTPD000007,OTND00000133,989,لجنة التدريب والتطوير
OTPD000007,OTND00000134,309,لجنة التدريب والتطوير
OTPD000007,OTND00000135,1312,لجنة التدريب والتطوير
OTPD000007,OTND00000136,981,لجنة التدريب والتطوير
OTPD000007,OTND00000137,238,لجنة التدريب والتطوير
OTPD000007,OTND00000138,,مسؤول اللجنة الترفيهيّة
OTPD000008,OTND00000139,3173,المرشد الروحي
OTPD000008,OTND00000140,141,المسؤول العام
OTPD000008,OTND00000141,800,مسؤول فئتيّ الجامعيّة والعاملة
OTPD000008,OTND00000142,122,مسؤول فئة الثانوي
