group_id,period_id,jec_year,from_date,to_date
YG002,OTPD000001,2026,2025-11-23,
YG003,OTPD000002,2026,2025-11-23,
YG004,OTPD000003,,,
YG005,OTPD000004,2026,2025-11-23,
YG006,OTPD000005,2026,2025-11-23,
YG007,OTPD000006,2026,2025-11-23,
YG010,OTPD000007,2026,2025-11-23,
YG012,OTPD000008,2026,2025-11-23,
YG015,OTPD000009,2026,2025-11-23,
YG016,OTPD000010,2026,2025-11-23,
YG019,OTPD000011,2026,2025-11-23,
YG021,OTPD000012,2026,2025-11-23,
YG022,OTPD000013,2026,2025-11-17,2025-12-23
YG022,OTPD000014,2026,2025-12-24,2026-01-05
YG022,OTPD000015,2026,2025-08-20,2025-11-03
YG022,OTPD000016,2026,2026-01-06,2026-01-14
YG022,OTPD000017,2026,2026-01-14,2026-01-29
YG022,OTPD000018,2026,2026-01-29,2026-03-12
YG022,OTPD000019,2026,2025-11-04,2025-11-16
YG022,OTPD000020,2026,2026-03-12,
YG023,OTPD000021,2026,2025-11-23,
YG028,OTPD000022,2026,2026-01-01,
YG030,OTPD000023,2026,2025-11-23,
