parish_id,patron_saint,area,lpj_url,facebook_url,instagram_url,linkedin_url,region,governorate
PA001,قلب مريم الطاهر,الفحيص,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/fuheis-parish-immaculate-heart-of-mary-church,https://web.facebook.com/profile.php?id=100069302916014,https://www.instagram.com/fuheis.latin.church/,,الوسط,البلقاء
PA002,سلطانة السلام,الزرقاء الجديدة,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/new-zarqa-parish-queen-of-peace-church,https://web.facebook.com/SultanaOfPeace/?_rdc=1&_rdr#,,,الوسط,الزرقاء
PA003,القديس بيوس العاشر,الزرقاء الجنوبي,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/zarqa-south-parish-saint-pius-x-church,,,,الوسط,الزرقاء
PA004,القديس يوسف,أدر,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/ader-parish-saint-joseph-and-elijah-church,,,,الجنوب,الكرك
PA005,القديس جورج الشهيد,إربد,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/irbid-parish-saint-george-the-martyr-church,https://web.facebook.com/groups/5041778621?locale=ar_AR,,,الشمال,إربد
PA006,القديس بولس الرسول,الجبيهة,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/jubeiha-parish-st-paul-the-apostle-church,https://web.facebook.com/profile.php?id=100064557074906&locale=ar_AR,,,الوسط,عمان
PA007,الحبل بلا دنس,الحصن,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/husn-parish-immaculate-conception-church,https://web.facebook.com/profile.php?id=61584060346554,https://www.instagram.com/latinhusn?igsh=b3VhdXBpOXhjZ3cz,,الشمال,إربد
PA008,العائلة المقدسة,الرصيفة,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/rusaifeh-parish-holy-family-church,,,,الوسط,الزرقاء
PA009,ارتفاع الصليب المقدس,الرميمين,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/rumeimin-parish-exaltation-of-the-holy-cross-church,,,,الوسط,البلقاء
PA010,الرسل,الزرقاء الشمالي,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/zarqa-north-parish-the-twelve-apostles-church,https://web.facebook.com/groups/280084855831577?locale=ar_AR,,,الوسط,الزرقاء
