church_id,parish_id,patron_saint,area,lat,lng,scd_active_from,scd_active_to,scd_currently_active_flag,scd_changed_by_user
CH001,PA001,قلب مريم الطاهر,الفحيص / البلد,32.01087126,35.76698491,2026-05-26 20:10:50,,True,admin
CH002,PA002,سلطانة السلام,الزرقاء الجديدة,32.10143398,36.10339188,2026-05-26 20:10:50,,True,admin
CH003,PA003,القديس بيوس العاشر,الزرقاء الجنوبي,32.05874386,36.08819221,2026-05-26 20:10:50,,True,admin
CH004,PA004,القديس يوسف,أدر,31.20629384,35.76000266,2026-05-26 20:10:50,,True,admin
CH005,PA005,القديس جورج الشهيد,إربد,32.55873876,35.8422035,2026-05-26 20:10:50,,True,admin
CH006,PA006,القديس بولس الرسول,الجبيهة,32.0331293,35.89747251,2026-05-26 20:10:50,,True,admin
CH007,PA007,الحبل بلا دنس,الحصن,32.48616527,35.88223109,2026-05-26 20:10:50,,True,admin
CH008,PA008,العائلة المقدسة,الرصيفة,32.01723342,36.04078829,2026-05-26 20:10:50,,True,admin
CH009,PA009,ارتفاع الصليب المقدس,الرميمين,32.10336996,35.79882139,2026-05-26 20:10:50,,True,admin
CH010,PA010,الرسل,الزرقاء الشمالي,32.06783243,36.09087229,2026-05-26 20:10:50,,True,admin
CH011,PA011,انتقال السيدة,السلط,32.03911666,35.72683908,2026-05-26 20:10:50,,True,admin
CH012,PA012,القديس ميخائيل,السماكية,31.30667614,35.80163773,2026-05-26 20:10:50,,True,admin
CH013,PA013,العذراء الناصرية,الصويفية,31.95189224,35.8705354,2026-05-26 20:10:50,,True,admin
CH014,PA014,سيدة نجمة البحر,العقبة,29.53613807,35.01486239,2026-05-26 20:10:50,,True,admin
CH015,PA001,أم النعم,الفحيص / العلالي,32.00380803,35.78061172,2026-05-26 20:10:50,,True,admin
CH016,PA016,سيدة الوردية,الكرك,31.18535692,35.70674063,2026-05-26 20:10:50,,True,admin
CH017,PA017,يسوع الملك,المصدار,31.9441479,35.92897824,2026-05-26 20:10:50,,True,admin
CH018,PA018,القديس يوسف,المفرق,32.34100495,36.21012052,2026-05-26 20:10:50,,True,admin
CH019,PA019,مار إلياس,الوهادنة,32.32481966,35.64302155,2026-05-26 20:10:50,,True,admin
CH020,PA020,قلب يسوع الأقدس,تلاع العلي,31.9887912,35.86016889,2026-05-26 20:10:50,,True,admin
CH021,PA021,القديس يوحنا دي لا سال,جبل الحسين,31.96566116,35.91538715,2026-05-26 20:10:50,,True,admin
CH022,PA022,سيدة البشارة,اللويبدة,31.9555328,35.92449638,2026-05-26 20:10:50,,True,admin
CH023,PA023,سيدة الكرمل,الهاشمي الشمالي,31.9704764,35.96031771,2026-05-26 20:10:50,,True,admin
CH024,PA024,القديس يوسف,جبل عمان,31.949082,35.92372389,2026-05-26 20:10:50,,True,admin
CH025,PA025,سيدة البشارة,شطنا,32.43593316,35.86484554,2026-05-26 20:10:50,,True,admin
CH026,PA026,القديسة تريزا الطفل يسوع,صافوط,32.03835437,35.83183554,2026-05-26 20:10:50,,True,admin
CH027,PA027,القديس بولس الرسول,عجلون,32.33564023,35.74982995,2026-05-26 20:10:50,,True,admin
CH028,PA028,سيدة الجبل,عنجرة,32.30838356,35.74952373,2026-05-26 20:10:50,,True,admin
CH029,PA029,قطع رأس يوحنا المعمدان,مادبا,31.71485033,35.7934134,2026-05-26 20:10:50,,True,admin
CH030,PA029,الروح القدس,حنينا,31.73338872,35.79746526,2026-05-26 20:10:50,,True,admin
CH031,PA031,القديس يعقوب الصغير,ماعين,31.68063619,35.7327023,2026-05-26 20:10:50,,True,admin
CH032,PA032,شهداء الاردن,مرج الحمام,31.89729344,35.86389143,2026-05-26 20:10:50,,True,admin
CH033,PA030,العذراء أم الكنيسة,ماركا,31.97924139,35.98659147,2026-05-26 20:10:50,,True,admin
CH034,PA015,قلب يسوع الأقدس,ناعور,31.88154284,35.8260097,2026-05-26 20:10:50,,True,admin
CH035,PA033,الراعي الصالح,طريق المطار,31.86591238,35.86558353,2026-05-26 20:10:50,,True,admin
