person_id,institution_name,major,degree,start_date,end_date,education_state,final_gpa,scd_active_from,scd_active_to,scd_currently_active_flag,scd_changed_by_user
2,جامعة البلقاء التطبيقيّة,هندسة الأوتوترونكس,بكالوريوس,,,current,,2025-01-31 11:12:25,,True,admin
3,الجامعة الأردنيّة,المحاسبة,بكالوريوس,,,current,,2025-01-31 11:12:36,,True,admin
4,جامعة البلقاء التطبيقيّة,الأمن السيبراني,بكالوريوس,,,current,,2025-01-31 11:12:38,,True,admin
5,جامعة جدارا,الأمن السيبراني,بكالوريوس,,,current,,2025-01-31 11:12:38,,True,admin
6,جامعة مؤتة,الهندسة الميكانيكيّة,بكالوريوس,,,current,,2025-01-31 11:12:42,,True,admin
7,جامعة البلقاء التطبيقيّة,هندسة البرمجيات,بكالوريوس,,,graduated,,2025-01-31 11:12:46,,True,admin
8,جامعة البترا,العلوم الماليّة والمصرفيّة,بكالوريوس,,,graduated,,2025-01-31 11:12:47,,True,admin
9,جامعة اليرموك,علم البيانات والذكاء الاصطناعي,بكالوريوس,,,current,,2025-01-31 11:12:50,,True,admin
10,الجامعة الهاشميّة,المحاسبة,بكالوريوس,,,current,,2025-01-31 11:12:50,,True,admin
11,جامعة البلقاء التطبيقيّة,نظم المعلومات المحاسبيّة,بكالوريوس,,,current,,2025-01-31 11:12:54,,True,admin
12,جامعة العلوم والتكنولوجيا الأردنيّة,طب وجراحة الأسنان,بكالوريوس,,,current,,2025-01-31 11:12:54,,True,admin
13,الجامعة الهاشميّة,هندسة الحاسوب,بكالوريوس,,,current,,2025-01-31 11:13:00,,True,admin
14,الجامعة الهاشميّة,هندسة البرمجيات,بكالوريوس,,,graduated,,2025-01-31 11:13:00,,True,admin
16,الجامعة الألمانيّة الأردنيّة,الهندسة الطبيّة الحيويّة,بكالوريوس,,,current,,2025-01-31 11:13:02,,True,admin
17,الجامعة الهاشميّة,المحاسبة,بكالوريوس,,,graduated,,2025-01-31 11:13:03,,True,admin
18,جامعة مؤتة,علم البيانات والذكاء الاصطناعي,بكالوريوس,,,current,,2025-01-31 11:13:03,,True,admin
20,جامعة العلوم والتكنولوجيا الأردنيّة,الأمن السيبراني,بكالوريوس,,,current,,2025-01-31 11:13:06,,True,admin
21,الجامعة الهاشميّة,الهندسة الصناعيّة,بكالوريوس,,,graduated,,2025-01-31 11:13:09,,True,admin
22,الجامعة الهاشميّة,الاقتصاد المالي,بكالوريوس,,,graduated,,2025-01-31 11:13:09,,True,admin
24,الجامعة الهاشميّة,علم المحافظة على الآثار,بكالوريوس,,,graduated,,2025-01-31 11:13:12,,True,admin
25,الجامعة الأردنيّة,هندسة العمارة,بكالوريوس,,,graduated,,2025-01-31 11:13:12,,True,admin
26,الجامعة الهاشميّة,هندسة الميكاترونيكس,بكالوريوس,,,current,,2025-01-31 11:13:13,,True,admin
27,الجامعة الهاشميّة,الهندسة الصناعيّة,بكالوريوس,,,current,,2025-01-31 11:13:13,,True,admin
28,جامعة الشّرق الأوسط,التكنولوجيا الماليّة,بكالوريوس,,,current,,2025-01-31 11:13:13,,True,admin
29,جامعة البلقاء التطبيقيّة,اللغة العربيّة وآدابها,بكالوريوس,,,graduated,,2025-01-31 11:13:15,,True,admin
30,جامعة عمان الأهليّة,الحقوق / القانون,بكالوريوس,,,current,,2025-01-31 11:13:18,,True,admin
31,جامعة الزرقاء,طب وجراحة الأسنان,بكالوريوس,,,current,,2025-01-31 11:13:18,,True,admin
32,الجامعة الهاشميّة,علم البيانات والذكاء الاصطناعي,بكالوريوس,,,current,,2025-01-31 11:13:19,,True,admin
34,جامعة اليرموك,الطب البشري,بكالوريوس,,,current,,2025-01-31 11:13:20,,True,admin
35,الجامعة الهاشميّة,المحاسبة,بكالوريوس,,,current,,2025-01-31 11:13:21,,True,admin
36,الجامعة الأردنيّة,الهندسة المدنيّة,بكالوريوس,,,current,,2025-01-31 11:13:22,,True,admin
38,الجامعة الهاشميّة,التسويق الرقمي,بكالوريوس,,,current,,2025-01-31 11:13:24,,True,admin
39,جامعة البترا,هندسة البرمجيات,بكالوريوس,,,graduated,,2025-01-31 11:13:25,,True,admin
40,جامعة البلقاء التطبيقيّة,الهندسة المدنيّة والمساحة,بكالوريوس,,,current,,2025-01-31 11:13:25,,True,admin
41,الجامعة الأردنيّة,التربية البدنيّة,بكالوريوس,,,current,,2025-01-31 11:13:26,,True,admin
42,جامعة العلوم والتكنولوجيا الأردنيّة,الهندسة الكهربائيّة,بكالوريوس,,,current,,2025-01-31 11:13:27,,True,admin
44,الجامعة الهاشميّة,الأمن السيبراني,بكالوريوس,,,current,,2025-01-31 11:13:29,,True,admin
45,جامعة العلوم والتكنولوجيا الأردنيّة,هندسة وأمن شبكات الحاسوب,بكالوريوس,,,graduated,,2025-01-31 11:13:29,,True,admin
46,جامعة مؤتة,التمريض,بكالوريوس,,,current,,2025-01-31 11:13:32,,True,admin
47,جامعة العلوم والتكنولوجيا الأردنيّة,هندسة البرمجيات,بكالوريوس,,,current,,2025-01-31 11:13:32,,True,admin
48,الجامعة الأردنيّة,طب وجراحة الأسنان,بكالوريوس,,,current,,2025-01-31 11:13:33,,True,admin
49,الجامعة الهاشميّة,علم الحاسوب وتطبيقاته,بكالوريوس,,,current,,2025-01-31 11:13:35,,True,admin
50,جامعة عمان العربيّة,نظم المعلومات الإداريّة,بكالوريوس,,,graduated,,2025-01-31 11:13:36,,True,admin
51,جامعة الشّرق الأوسط,الحقوق / القانون,بكالوريوس,,,graduated,,2025-01-31 11:13:36,,True,admin
51,جامعة الشّرق الأوسط,الحقوق / القانون,ماجستير,,,graduated,,2025-01-31 11:13:36,,True,admin
52,جامعة العلوم والتكنولوجيا الأردنيّة,طب وجراحة الأسنان,بكالوريوس,,,graduated,,2025-01-31 11:13:40,,True,admin
53,جامعة الزرقاء,الأمن السيبراني,بكالوريوس,,,current,,2025-01-31 11:13:41,,True,admin
54,جامعة البلقاء التطبيقيّة,علم الحاسوب,بكالوريوس,,,current,,2025-01-31 11:13:42,,True,admin
55,الجامعة الأردنيّة,هندسة الميكاترونيكس,بكالوريوس,,,current,,2025-01-31 11:13:42,,True,admin
56,الجامعة الأردنيّة,الهندسة الميكانيكيّة,بكالوريوس,,,graduated,,2025-01-31 11:13:44,,True,admin
57,الجامعة الأمريكيّة في مادبا,المحاسبة الدوليّة والتمويل,بكالوريوس,,,graduated,,2025-01-31 11:13:45,,True,admin
58,الجامعة الأمريكيّة في مادبا,المختبرات الطبيّة,بكالوريوس,,,graduated,,2025-01-31 11:13:45,,True,admin
60,جامعة عمان الأهليّة,علم البيانات والذكاء الاصطناعي,بكالوريوس,,,current,,2025-01-31 11:13:46,,True,admin
61,جامعة مؤتة,الهندسة الكيميائيّة,بكالوريوس,,,current,,2025-01-31 11:13:46,,True,admin
62,الجامعة الهاشميّة,العلاج الوظيفي,بكالوريوس,,,current,,2025-01-31 11:13:48,,True,admin
63,الجامعة الهاشميّة,الطب البشري,بكالوريوس,,,current,,2025-01-31 11:13:49,,True,admin
64,جامعة مؤتة,المحاسبة,بكالوريوس,,,current,,2025-01-31 11:13:49,,True,admin
65,جامعة جدارا,دكتور في الصيدلة,بكالوريوس,,,current,,2025-01-31 11:13:49,,True,admin
67,جامعة البلقاء التطبيقيّة,العلوم الماليّة والمصرفيّة,بكالوريوس,,,graduated,,2025-01-31 11:13:51,,True,admin
68,الجامعة الهاشميّة,الهندسة الميكانيكيّة,بكالوريوس,,,graduated,,2025-01-31 11:13:52,,True,admin
69,الجامعة الهاشميّة,التسويق الرقمي,بكالوريوس,,,current,,2025-01-31 11:13:53,,True,admin
70,الجامعة الهاشميّة,الطب البشري,بكالوريوس,,,current,,2025-01-31 11:13:55,,True,admin
72,الجامعة الهاشميّة,الإدارة السياحيّة,بكالوريوس,,,current,,2025-01-31 11:14:00,,True,admin
73,الجامعة الهاشميّة,إدارة الأعمال,بكالوريوس,,,current,,2025-01-31 11:14:01,,True,admin
74,الجامعة الهاشميّة,المحاسبة,بكالوريوس,,,current,,2025-01-31 11:14:02,,True,admin
75,الجامعة الأردنيّة,اللغات (إسباني - إنجليزي),بكالوريوس,,,current,,2025-01-31 11:14:03,,True,admin
78,جامعة مؤتة,هندسة البرمجيات,بكالوريوس,,,current,,2025-01-31 11:14:11,,True,admin
79,جامعة الشّرق الأوسط,التكنولوجيا الماليّة,بكالوريوس,,,graduated,,2025-01-31 11:14:11,,True,admin
80,الجامعة الهاشميّة,العلوم الماليّة والمصرفيّة,بكالوريوس,,,current,,2025-01-31 11:14:12,,True,admin
82,جامعة عمان الأهليّة,المحاسبة,بكالوريوس,,,graduated,,2025-01-31 11:14:14,,True,admin
83,الجامعة الهاشميّة,المحاسبة,بكالوريوس,,,current,,2025-01-31 11:14:15,,True,admin
84,جامعة البلقاء التطبيقيّة,نظم المعلومات الحاسوبيّة,بكالوريوس,,,current,,2025-01-31 11:14:16,,True,admin
85,جامعة البلقاء التطبيقيّة,المحاسبة,بكالوريوس,,,current,,2025-01-31 11:14:17,,True,admin
86,الجامعة الأردنيّة,اللغات (إنجليزي - فرنسي),بكالوريوس,,,current,,2025-01-31 11:14:17,,True,admin
87,جامعة البلقاء التطبيقيّة,التحقيقات الجنائية الرقمية,بكالوريوس,,,current,,2025-01-31 11:14:19,,True,admin
88,جامعة جدارا,إدارة الأعمال,بكالوريوس,,,current,,2025-01-31 11:14:19,,True,admin
89,جامعة الزرقاء,الأمن السيبراني,بكالوريوس,,,current,,2025-01-31 11:14:22,,True,admin
