person_id,job_id,job_title,employer_name,start_date,end_date,employment_state,scd_active_from,scd_active_to,scd_currently_active_flag,scd_changed_by_user
7,JB00001,Technical Coordinator / Technical Officer,Run Jordan,,,current,2025-01-31 11:12:46,,True,admin
8,JB00002,Credit Risk Specialist,بنك القاهرة عمان,,,current,2025-01-31 11:12:47,,True,admin
14,JB00003,Bank Employee,بنك الإتحاد,,,current,2025-01-31 11:13:00,,True,admin
17,JB00005,Accountant,مدرسة المخلص الإنجيليّة الأسقفيّة - الزرقاء,,,current,2025-01-31 11:13:03,,True,admin
21,JB00007,Management & Businesses Consultant,Agile Consulting,,,current,2025-01-31 11:13:09,,True,admin
22,JB00008,Branch Manager,الإتحاد الأردني لشركات التأمين,,,current,2025-01-31 11:13:09,,True,admin
23,JB00009,Alcoholic Beverages Distributor,شركة الاستثمارات العامة,,,current,2025-01-31 11:13:09,,True,admin
24,JB00010,Reservations Manager,بلازا للسياحة,,,current,2025-01-31 11:13:12,,True,admin
25,JB00011,Architect,HS Group,,,current,2025-01-31 11:13:12,,True,admin
26,JB00012,Call Center,ويلز,,,current,2025-01-31 11:13:13,,True,admin
29,JB00013,Teacher,كلّية دي لا سال - الفرير,,,current,2025-01-31 11:13:15,,True,admin
32,JB00014,Data Entry & Patient Reception,مركز الرأفة الطبي,,,current,2025-01-31 11:13:19,,True,admin
33,JB00015,Data Entry,مجوهرات كرم امسيح - قسم الألماس,,,current,2025-01-31 11:13:20,,True,admin
45,JB00017,IT Officer,المجموعة العربيّة الأوروبيّة للتأمين,,,current,2025-01-31 11:13:29,,True,admin
51,JB00018,Lawyer,مكتب المحامي فادي حدادين,,,current,2025-01-31 11:13:36,,True,admin
54,JB00019,Restaurant Manager,,,,current,2025-01-31 11:13:42,,True,admin
56,JB00020,Sales Engineer,شركة توفيق غرغور وأولاده,,,current,2025-01-31 11:13:44,,True,admin
57,JB00021,Financial Analyst,Philip Morris International,,,current,2025-01-31 11:13:45,,True,admin
68,JB00024,Teacher,مدارس بطريركيّة الروم الأرثوذكس,,,current,2025-01-31 11:13:52,,True,admin
80,JB00025,Private Tutor,,,,current,2025-01-31 11:14:12,,True,admin
82,JB00026,Accountant,الشركة التقنيّة لتشكيل اللفائف المعدنيّة,,,current,2025-01-31 11:14:14,,True,admin
86,JB00027,Data Associate - French,Amazon,,,current,2025-01-31 11:14:17,,True,admin
89,JB00028,Cashier,مشروبي,,,current,2025-01-31 11:14:22,,True,admin
93,JB00030,Business Owner,مؤسسة الدواليب للخدمات اللوجستيّة,,,current,2025-01-31 11:14:26,,True,admin
94,JB00031,Teacher,مدارس بطريركيّة الروم الأرثوذكس,,,current,2025-01-31 11:14:27,,True,admin
96,JB00032,Blacksmith,,,,current,2025-01-31 11:14:27,,True,admin
103,JB00034,,Private Business,,,current,2025-01-31 11:14:33,,True,admin
104,JB00035,Teacher,مدرسة راهبات الورديّة - إربد,,,current,2025-01-31 11:14:34,,True,admin
111,JB00038,Project Officer,World Vision,,,current,2025-01-31 11:14:40,,True,admin
113,JB00040,ENT Doctor,مستشفيات الخدمات الطبيّة الملكيّة,,,current,2025-01-31 11:14:41,,True,admin
