mobile_number_record_id,family_relation,scd_active_from,scd_active_to,scd_currently_active_flag,scd_changed_by_user
MB003103,الأم,2025-02-10 23:06:04,,True,admin
MB003104,الأب,2025-02-10 23:06:04,,True,admin
MB003105,الأم,2025-08-09 09:45:05,,True,admin
MB003106,الأب,2025-08-09 09:45:05,,True,admin
MB003107,الأم,2025-08-09 09:44:53,,True,admin
MB003108,الأب,2025-08-09 09:44:53,,True,admin
MB003109,الأم,2025-08-09 09:46:00,,True,admin
MB003110,الأب,2025-08-09 09:46:00,,True,admin
MB003111,الأم,2025-08-09 09:46:25,,True,admin
MB003112,الأب,2025-08-09 09:46:25,,True,admin
MB003115,الأم,2025-08-09 09:47:23,,True,admin
MB003116,الأب,2025-08-09 09:47:23,,True,admin
MB003117,الأم,2025-08-09 09:48:06,,True,admin
MB003118,الأب,2025-08-09 09:48:06,,True,admin
MB003119,الأم,2025-08-09 09:48:12,,True,admin
MB003122,الأم,2025-08-09 09:49:26,,True,admin
MB003123,الأب,2025-08-09 09:49:26,,True,admin
MB003124,الأم,2025-08-09 09:49:28,,True,admin
MB003125,الأب,2025-08-09 09:49:28,,True,admin
MB003126,الأم,2025-08-09 09:53:03,,True,admin
MB003127,الأم,2025-08-09 09:53:16,,True,admin
MB003128,الأب,2025-08-09 09:53:16,,True,admin
MB003129,الأم,2025-08-09 09:55:00,,True,admin
MB003130,الأب,2025-08-09 09:55:00,,True,admin
MB003131,الأم,2025-08-09 09:55:42,,True,admin
MB003132,الأم,2025-08-09 10:05:38,,True,admin
MB003133,الأب,2025-08-09 10:05:38,,True,admin
MB003134,الأم,2025-08-09 10:11:35,,True,admin
MB003135,الأب,2025-08-09 10:11:35,,True,admin
MB003138,الأم,2025-08-09 10:24:10,,True,admin
MB003139,الأب,2025-08-09 10:24:10,,True,admin
MB003145,الأم,2025-02-03 16:42:55,,True,admin
MB003146,الأب,2025-02-03 16:42:55,,True,admin
MB003148,الأب,2025-02-03 12:12:02,,True,admin
MB003149,الأم,2025-02-03 12:12:02,,True,admin
MB002639,الأم,2025-09-24 07:35:26,,True,admin
MB002637,الأم,2025-09-24 07:31:20,,True,admin
MB002646,الأم,2025-09-24 09:09:59,,True,admin
MB002650,الأم,2025-09-24 22:13:22,,True,admin
MB000739,الأم,2025-02-03 22:17:59,,True,admin
MB002674,الأم,2025-09-28 11:59:52,,True,admin
MB002493,الأم,2025-06-10 16:59:59,,True,admin
MB002682,الأم,2025-10-10 10:51:59,,True,admin
MB002694,الأم,2025-10-25 20:09:51,,True,admin
MB002695,الأم,2025-10-25 20:39:50,,True,admin
MB002583,الأم,2025-08-09 19:50:00,,True,admin
MB003226,الأب,2025-08-09 19:50:00,,True,admin
MB002584,الأم,2025-08-09 19:52:20,,True,admin
MB003227,الأب,2025-08-09 19:52:20,,True,admin
