person_id,nationality,scd_active_from,scd_active_to,scd_currently_active_flag,scd_changed_by_user
2,أردنيّة,2025-01-31 11:12:25,,True,admin
3,أردنيّة,2025-01-31 11:12:25,,True,admin
4,أردنيّة,2025-01-31 11:12:25,,True,admin
5,أردنيّة,2025-01-31 11:12:25,,True,admin
6,أردنيّة,2025-01-31 11:12:25,,True,admin
7,أردنيّة,2025-01-31 11:12:25,,True,admin
8,أردنيّة,2025-01-31 11:12:25,,True,admin
9,أردنيّة,2025-01-31 11:12:25,,True,admin
10,أردنيّة,2025-01-31 11:12:25,,True,admin
11,أردنيّة,2025-01-31 11:12:25,,True,admin
12,أردنيّة,2025-01-31 11:12:25,,True,admin
13,أردنيّة,2025-01-31 11:12:25,,True,admin
14,أردنيّة,2025-01-31 11:12:25,,True,admin
16,أردنيّة,2025-01-31 11:12:25,,True,admin
17,أردنيّة,2025-01-31 11:12:25,,True,admin
18,أردنيّة,2025-01-31 11:12:25,,True,admin
20,أردنيّة,2025-01-31 11:12:25,,True,admin
21,أردنيّة,2025-01-31 11:12:25,,True,admin
22,أردنيّة,2025-01-31 11:12:25,,True,admin
23,أردنيّة,2025-01-31 11:12:25,,True,admin
24,أردنيّة,2025-01-31 11:12:25,,True,admin
25,أردنيّة,2025-01-31 11:12:25,,True,admin
26,أردنيّة,2025-01-31 11:12:25,,True,admin
27,أردنيّة,2025-01-31 11:12:25,,True,admin
28,أردنيّة,2025-01-31 11:12:25,,True,admin
29,أردنيّة,2025-01-31 11:12:25,,True,admin
30,أردنيّة,2025-01-31 11:12:25,,True,admin
31,أردنيّة,2025-01-31 11:12:25,,True,admin
32,أردنيّة,2025-01-31 11:12:25,,True,admin
33,أردنيّة,2025-01-31 11:12:25,,True,admin
34,عراقيّة,2025-01-31 11:13:20,,True,admin
35,أردنيّة,2025-01-31 11:12:25,,True,admin
36,أردنيّة,2025-01-31 11:12:25,,True,admin
38,أردنيّة,2025-01-31 11:12:25,,True,admin
39,أردنيّة,2025-01-31 11:12:25,,True,admin
40,أردنيّة,2025-01-31 11:12:25,,True,admin
41,أردنيّة,2025-01-31 11:12:25,,True,admin
42,أردنيّة,2025-01-31 11:12:25,,True,admin
44,أردنيّة,2025-01-31 11:12:25,,True,admin
45,أردنيّة,2025-01-31 11:12:25,,True,admin
46,أردنيّة,2025-01-31 11:12:25,,True,admin
47,أردنيّة,2025-01-31 11:12:25,,True,admin
48,أردنيّة,2025-01-31 11:12:25,,True,admin
49,أردنيّة,2025-01-31 11:12:25,,True,admin
50,أردنيّة,2025-01-31 11:12:25,,True,admin
51,أردنيّة,2025-01-31 11:12:25,,True,admin
52,أردنيّة,2025-01-31 11:12:25,,True,admin
53,أردنيّة,2025-01-31 11:12:25,,True,admin
54,أردنيّة,2025-01-31 11:12:25,,True,admin
55,أردنيّة,2025-01-31 11:12:25,,True,admin
56,أردنيّة,2025-01-31 11:12:25,,True,admin
57,أردنيّة,2025-01-31 11:12:25,,True,admin
58,مصريّة,2025-01-31 11:13:45,,True,admin
60,أردنيّة,2025-01-31 11:12:25,,True,admin
61,أردنيّة,2025-01-31 11:12:25,,True,admin
62,أردنيّة,2025-01-31 11:12:25,,True,admin
63,أردنيّة,2025-01-31 11:12:25,,True,admin
64,أردنيّة,2025-01-31 11:12:25,,True,admin
65,أردنيّة,2025-01-31 11:12:25,,True,admin
67,أردنيّة,2025-01-31 11:12:25,,True,admin
68,أردنيّة,2025-01-31 11:12:25,,True,admin
69,أردنيّة,2025-01-31 11:12:25,,True,admin
70,أردنيّة,2025-01-31 11:12:25,,True,admin
72,أردنيّة,2025-01-31 11:12:25,,True,admin
73,أردنيّة,2025-01-31 11:12:25,,True,admin
74,أردنيّة,2025-01-31 11:12:25,,True,admin
75,أردنيّة,2025-01-31 11:12:25,,True,admin
78,أردنيّة,2025-01-31 11:12:25,,True,admin
79,أردنيّة,2025-01-31 11:12:25,,True,admin
80,أردنيّة,2025-01-31 11:12:25,,True,admin
82,أردنيّة,2025-01-31 11:12:25,,True,admin
83,أردنيّة,2025-01-31 11:12:25,,True,admin
84,أردنيّة,2025-01-31 11:12:25,,True,admin
85,أردنيّة,2025-01-31 11:12:25,,True,admin
86,أردنيّة,2025-01-31 11:12:25,,True,admin
87,أردنيّة,2025-01-31 11:12:25,,True,admin
88,أردنيّة,2025-01-31 11:12:25,,True,admin
89,أردنيّة,2025-01-31 11:12:25,,True,admin
92,أردنيّة,2025-01-31 11:12:25,,True,admin
93,أردنيّة,2025-01-31 11:12:25,,True,admin
94,أردنيّة,2025-01-31 11:12:25,,True,admin
95,أردنيّة,2025-01-31 11:12:25,,True,admin
96,أردنيّة,2025-01-31 11:12:25,,True,admin
97,أردنيّة,2025-01-31 11:12:25,,True,admin
99,أردنيّة,2025-01-31 11:12:25,,True,admin
100,أردنيّة,2025-01-31 11:12:25,,True,admin
102,أردنيّة,2025-01-31 11:12:25,,True,admin
103,أردنيّة,2025-01-31 11:12:25,,True,admin
104,أردنيّة,2025-01-31 11:12:25,,True,admin
106,أردنيّة,2025-01-31 11:12:25,,True,admin
107,عراقيّة,2025-01-31 11:13:20,,True,admin
108,أردنيّة,2025-01-31 11:12:25,,True,admin
109,أردنيّة,2025-01-31 11:12:25,,True,admin
111,أردنيّة,2025-01-31 11:12:25,,True,admin
113,أردنيّة,2025-01-31 11:12:25,,True,admin
114,أردنيّة,2025-01-31 11:12:25,,True,admin
115,أردنيّة,2025-01-31 11:12:25,,True,admin
116,أردنيّة,2025-01-31 11:12:25,,True,admin
117,أردنيّة,2025-01-31 11:12:25,,True,admin
