node_id,hull,scd_active_from,scd_active_to,scd_currently_active_flag,scd_changed_by_user
OTND00000001,مجلس الشبيبة,2026-05-26 19:41:04,,True,admin
OTND00000002,مجلس الشبيبة,2026-05-26 19:41:04,,True,admin
OTND00000003,مجلس الشبيبة,2026-05-26 19:41:04,,True,admin
OTND00000004,مجلس الشبيبة,2026-05-26 19:41:04,,True,admin
OTND00000004,مجلس فئتيّ الجامعيّة والعاملة,2026-05-26 19:41:04,,True,admin
OTND00000005,مجلس فئتيّ الجامعيّة والعاملة,2026-05-26 19:41:04,,True,admin
OTND00000006,مجلس فئتيّ الجامعيّة والعاملة,2026-05-26 19:41:04,,True,admin
OTND00000007,مجلس الشبيبة,2026-05-26 19:41:04,,True,admin
OTND00000007,مجلس فئة الثانوي,2026-05-26 19:41:04,,True,admin
OTND00000008,مجلس فئة الثانوي,2026-05-26 19:41:04,,True,admin
OTND00000009,مجلس فئة الثانوي,2026-05-26 19:41:04,,True,admin
OTND00000010,مجلس الشبيبة,2026-05-26 19:41:04,,True,admin
OTND00000010,مجلس فئة الإعدادي,2026-05-26 19:41:04,,True,admin
OTND00000011,مجلس فئة الإعدادي,2026-05-26 19:41:04,,True,admin
OTND00000012,مجلس فئة الإعدادي,2026-05-26 19:41:04,,True,admin
OTND00000013,مجلس الشبيبة,2026-05-26 19:41:04,,True,admin
OTND00000013,مجلس فئة البراعم,2026-05-26 19:41:04,,True,admin
OTND00000014,مجلس فئة البراعم,2026-05-26 19:41:04,,True,admin
OTND00000015,مجلس فئة البراعم,2026-05-26 19:41:04,,True,admin
OTND00000016,مجلس الشبيبة,2026-05-26 19:41:04,,True,admin
OTND00000017,مجلس الشبيبة,2026-05-26 19:41:04,,True,admin
OTND00000018,مجلس الشبيبة,2026-05-26 19:41:04,,True,admin
OTND00000018,اللجنة الإعلاميّة,2026-05-26 19:41:04,,True,admin
OTND00000019,مجلس الشبيبة,2026-05-26 19:41:04,,True,admin
OTND00000019,اللجنة الإعلاميّة,2026-05-26 19:41:04,,True,admin
OTND00000020,مجلس الشبيبة,2026-05-26 19:41:04,,True,admin
OTND00000020,اللجنة الإعلاميّة,2026-05-26 19:41:04,,True,admin
