period_id,node_id,person_id,role,visibility,scd_active_from,scd_active_to,scd_currently_active_flag,scd_changed_by_user
OTPD000001,OTND00000001,647,المسؤول العام,public,2026-05-26 19:41:04,,True,admin
OTPD000001,OTND00000002,3104,المرشد الروحي,public,2026-05-26 19:41:04,,True,admin
OTPD000001,OTND00000003,339,نائب المسؤول العام,public,2026-05-26 19:41:04,,True,admin
OTPD000001,OTND00000004,647,مسؤول فئتيّ الجامعيّة والعاملة,public,2026-05-26 19:41:04,,True,admin
OTPD000001,OTND00000005,339,مجلس فئتيّ الجامعيّة والعاملة,public,2026-05-26 19:41:04,,True,admin
OTPD000001,OTND00000006,812,مجلس فئتيّ الجامعيّة والعاملة,public,2026-05-26 19:41:04,,True,admin
OTPD000001,OTND00000007,274,مسؤول فئة الثانوي,public,2026-05-26 19:41:04,,True,admin
OTPD000001,OTND00000008,47,مجلس فئة الثانوي,public,2026-05-26 19:41:04,,True,admin
OTPD000001,OTND00000009,119,مجلس فئة الثانوي,public,2026-05-26 19:41:04,,True,admin
OTPD000001,OTND00000010,764,مسؤول فئة الإعدادي,public,2026-05-26 19:41:04,,True,admin
OTPD000001,OTND00000011,801,مجلس فئة الإعدادي,public,2026-05-26 19:41:04,,True,admin
OTPD000001,OTND00000012,235,مجلس فئة الإعدادي,public,2026-05-26 19:41:04,,True,admin
OTPD000001,OTND00000013,763,مسؤول فئة البراعم,public,2026-05-26 19:41:04,,True,admin
OTPD000001,OTND00000014,289,مجلس فئة البراعم,public,2026-05-26 19:41:04,,True,admin
OTPD000001,OTND00000015,288,مجلس فئة البراعم,public,2026-05-26 19:41:04,,True,admin
OTPD000001,OTND00000016,801,أمين الصندوق,public,2026-05-26 19:41:04,,True,admin
OTPD000001,OTND00000017,274,أمين السر,public,2026-05-26 19:41:04,,True,admin
OTPD000001,OTND00000018,647,مسؤول اللجنة الإعلاميّة,public,2026-05-26 19:41:04,,True,admin
OTPD000001,OTND00000019,764,مسؤول اللجنة الإعلاميّة,public,2026-05-26 19:41:04,,True,admin
OTPD000001,OTND00000020,762,مسؤول اللجنة الإعلاميّة,public,2026-05-26 19:41:04,,True,admin
OTPD000001,OTND00000021,761,مسؤول لجنة المساندة العامة,public,2026-05-26 19:41:04,,True,admin
OTPD000001,OTND00000022,119,مسؤول لجنة المساندة العامة,public,2026-05-26 19:41:04,,True,admin
OTPD000002,OTND00000023,1273,مسؤول فئتيّ الجامعيّة والعاملة,public,2026-05-26 19:41:04,,True,admin
OTPD000002,OTND00000024,1271,مجلس فئتيّ الجامعيّة والعاملة,public,2026-05-26 19:41:04,,True,admin
OTPD000002,OTND00000025,594,مجلس فئتيّ الجامعيّة والعاملة,public,2026-05-26 19:41:04,,True,admin
OTPD000002,OTND00000026,3077,مجلس فئتيّ الجامعيّة والعاملة,public,2026-05-26 19:41:04,,True,admin
OTPD000002,OTND00000027,590,مسؤول فئة الثانوي,public,2026-05-26 19:41:04,,True,admin
OTPD000002,OTND00000028,218,مجلس فئة الثانوي,public,2026-05-26 19:41:04,,True,admin
OTPD000002,OTND00000029,314,مجلس فئة الثانوي,public,2026-05-26 19:41:04,,True,admin
OTPD000002,OTND00000030,101,مسؤول فئة الإعدادي,public,2026-05-26 19:41:04,,True,admin
OTPD000002,OTND00000031,584,مجلس فئة الإعدادي,public,2026-05-26 19:41:04,,True,admin
OTPD000002,OTND00000032,701,مجلس فئة الإعدادي,public,2026-05-26 19:41:04,,True,admin
OTPD000002,OTND00000033,53,مسؤول فئة البراعم,public,2026-05-26 19:41:04,,True,admin
OTPD000002,OTND00000034,202,مسؤول فئة البراعم,public,2026-05-26 19:41:04,,True,admin
OTPD000002,OTND00000035,151,مجلس فئة البراعم,public,2026-05-26 19:41:04,,True,admin
OTPD000002,OTND00000036,85,مجلس فئة البراعم,public,2026-05-26 19:41:04,,True,admin
OTPD000002,OTND00000037,23,مجلس فئة البراعم,public,2026-05-26 19:41:04,,True,admin
OTPD000002,OTND00000038,747,مجلس فئة البراعم,public,2026-05-26 19:41:04,,True,admin
OTPD000002,OTND00000039,2267,مجلس فئة البراعم,public,2026-05-26 19:41:04,,True,admin
OTPD000002,OTND00000040,600,مجلس فئة البراعم,public,2026-05-26 19:41:04,,True,admin
