group_id,period_id,jec_year,from_date,to_date,scd_active_from,scd_active_to,scd_currently_active_flag,scd_changed_by_user
YG002,OTPD000001,2026,2025-11-23,,2026-05-26 19:41:04,,True,admin
YG003,OTPD000002,2026,2025-11-23,,2026-05-26 19:41:04,,True,admin
YG004,OTPD000003,,,,2026-05-26 19:41:04,,True,admin
YG005,OTPD000004,2026,2025-11-23,,2026-05-26 19:41:04,,True,admin
YG006,OTPD000005,2026,2025-11-23,,2026-05-26 19:41:04,,True,admin
YG007,OTPD000006,2026,2025-11-23,,2026-05-26 19:41:04,,True,admin
YG010,OTPD000007,2026,2025-11-23,,2026-05-26 19:41:04,,True,admin
YG012,OTPD000008,2026,2025-11-23,,2026-05-26 19:41:04,,True,admin
YG015,OTPD000009,2026,2025-11-23,,2026-05-26 19:41:04,,True,admin
YG016,OTPD000010,2026,2025-11-23,,2026-05-26 19:41:04,,True,admin
YG019,OTPD000011,2026,2025-11-23,,2026-05-26 19:41:04,,True,admin
YG021,OTPD000012,2026,2025-11-23,,2026-05-26 19:41:04,,True,admin
YG022,OTPD000013,2026,2025-11-17,2025-12-23,2026-05-26 19:41:04,,True,admin
YG022,OTPD000014,2026,2025-12-24,2026-01-05,2026-05-26 19:41:04,,True,admin
YG022,OTPD000015,2026,2025-08-20,2025-11-03,2026-05-26 19:41:04,,True,admin
YG022,OTPD000016,2026,2026-01-06,2026-01-14,2026-05-26 19:41:04,,True,admin
YG022,OTPD000017,2026,2026-01-14,2026-01-29,2026-05-26 19:41:04,,True,admin
YG022,OTPD000018,2026,2026-01-29,2026-03-12,2026-05-26 19:41:04,,True,admin
YG022,OTPD000019,2026,2025-11-04,2025-11-16,2026-05-26 19:41:04,,True,admin
YG022,OTPD000020,2026,2026-03-12,,2026-05-26 19:41:04,,True,admin
YG023,OTPD000021,2026,2025-11-23,,2026-05-26 19:41:04,,True,admin
YG028,OTPD000022,2026,2026-01-01,,2026-05-26 19:41:04,,True,admin
YG030,OTPD000023,2026,2025-11-23,,2026-05-26 19:41:04,,True,admin
GS,OTPD000024,2026,2026-01-30,,2026-05-26 19:41:04,,True,admin
GS,OTPD000025,2026,2025-11-17,2026-01-29,2026-05-26 19:41:04,,True,admin
GS,OTPD000026,2025,2025-01-31,2025-11-16,2026-05-26 19:41:04,,True,admin
