parish_id,patron_saint,area,lpj_url,facebook_url,instagram_url,linkedin_url,region,governorate,scd_active_from,scd_active_to,scd_currently_active_flag,scd_changed_by_user
PA001,قلب مريم الطاهر,الفحيص,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/fuheis-parish-immaculate-heart-of-mary-church,https://web.facebook.com/profile.php?id=100069302916014,https://www.instagram.com/fuheis.latin.church/,,الوسط,البلقاء,2026-05-26 20:10:50,,True,admin
PA002,سلطانة السلام,الزرقاء الجديدة,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/new-zarqa-parish-queen-of-peace-church,https://web.facebook.com/SultanaOfPeace/?_rdc=1&_rdr#,,,الوسط,الزرقاء,2026-05-26 20:10:50,,True,admin
PA003,القديس بيوس العاشر,الزرقاء الجنوبي,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/zarqa-south-parish-saint-pius-x-church,,,,الوسط,الزرقاء,2026-05-26 20:10:50,,True,admin
PA004,القديس يوسف,أدر,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/ader-parish-saint-joseph-and-elijah-church,,,,الجنوب,الكرك,2026-05-26 20:10:50,,True,admin
PA005,القديس جورج الشهيد,إربد,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/irbid-parish-saint-george-the-martyr-church,https://web.facebook.com/groups/5041778621?locale=ar_AR,,,الشمال,إربد,2026-05-26 20:10:50,,True,admin
PA006,القديس بولس الرسول,الجبيهة,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/jubeiha-parish-st-paul-the-apostle-church,https://web.facebook.com/profile.php?id=100064557074906&locale=ar_AR,,,الوسط,عمان,2026-05-26 20:10:50,,True,admin
PA007,الحبل بلا دنس,الحصن,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/husn-parish-immaculate-conception-church,https://web.facebook.com/profile.php?id=61584060346554,https://www.instagram.com/latinhusn?igsh=b3VhdXBpOXhjZ3cz,,الشمال,إربد,2026-05-26 20:10:50,,True,admin
PA008,العائلة المقدسة,الرصيفة,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/rusaifeh-parish-holy-family-church,,,,الوسط,الزرقاء,2026-05-26 20:10:50,,True,admin
PA009,ارتفاع الصليب المقدس,الرميمين,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/rumeimin-parish-exaltation-of-the-holy-cross-church,,,,الوسط,البلقاء,2026-05-26 20:10:50,,True,admin
PA010,الرسل,الزرقاء الشمالي,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/zarqa-north-parish-the-twelve-apostles-church,https://web.facebook.com/groups/280084855831577?locale=ar_AR,,,الوسط,الزرقاء,2026-05-26 20:10:50,,True,admin
PA011,انتقال السيدة,السلط,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/salt-parish-assumption-of-our-lady-church,https://web.facebook.com/p/%D9%83%D9%86%D9%8A%D8%B3%D8%A9-%D8%A7%D9%86%D8%AA%D9%82%D8%A7%D9%84-%D8%A7%D9%84%D8%B3%D9%8A%D8%AF%D8%A9-%D8%AF%D9%8A%D8%B1-%D8%A7%D9%84%D9%84%D8%A7%D8%AA%D9%8A%D9%86-%D8%A7%D9%84%D8%B3%D9%84%D8%B7-100088047443460/?utm_source=chatgpt.com&_rdc=1&_rdr#,,,الوسط,البلقاء,2026-05-26 20:10:50,,True,admin
PA012,القديس ميخائيل,السماكية,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/smakieh-parish-saint-michael-church,https://www.facebook.com/profile.php?id=100064858173464#,,,الجنوب,الكرك,2026-05-26 20:10:50,,True,admin
PA013,العذراء الناصرية,الصويفية,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/sweifieh-parish-mary-of-nazareth-church,https://web.facebook.com/p/StMary-Of-Nazareth-Church-%D9%83%D9%86%D9%8A%D8%B3%D8%A9-%D8%A7%D9%84%D8%B9%D8%B0%D8%B1%D8%A7%D8%A1-%D8%A7%D9%84%D9%86%D8%A7%D8%B5%D8%B1%D9%8A%D8%A9-%D8%A7%D9%84%D8%B5%D9%88%D9%8A%D9%81%D9%8A%D8%A9-100070483206798/?_rdc=1&_rdr#,,,الوسط,عمان,2026-05-26 20:10:50,,True,admin
PA014,سيدة نجمة البحر,العقبة,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/aqaba-parish-our-lady-stella-maris-church,https://www.facebook.com/stella.maris.church.2025,https://www.instagram.com/stella_maris_church/,,الجنوب,العقبة,2026-05-26 20:10:50,,True,admin
PA015,قلب يسوع الأقدس,ناعور,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/naour-parish-sacred-heart-church,,,,الوسط,عمان,2026-05-26 20:10:50,,True,admin
PA016,سيدة الوردية,الكرك,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/karak-parish-our-lady-of-the-rosary-church,https://www.facebook.com/groups/491453657878179/,,,الجنوب,الكرك,2026-05-26 20:10:50,,True,admin
PA017,يسوع الملك,المصدار,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/al-misdar-parish-christ-the-king-church,https://www.facebook.com/Christ.The.King.Church.Almisdar/,https://www.instagram.com/christ.the.king.latin.church?igsh=aHhrazlwYjIwcDNn,,الوسط,عمان,2026-05-26 20:10:50,,True,admin
PA018,القديس يوسف,المفرق,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/mafraq-parish-st-joseph-church,https://web.facebook.com/groups/1565979983506573/?locale=ar_AR&utm_source=chatgpt.com&_rdc=1&_rdr#,,,الشمال,المفرق,2026-05-26 20:10:50,,True,admin
PA019,مار إلياس,الوهادنة,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/al-wahadneh-parish-saint-elijah-church,https://web.facebook.com/profile.php?id=100066141056596,https://www.instagram.com/latin.church.wahadneh/,,الشمال,عجلون,2026-05-26 20:10:50,,True,admin
PA020,قلب يسوع الأقدس,تلاع العلي,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/tilalali-parish-sacred-heart-of-jesus-church,https://www.facebook.com/photo/?fbid=1470230824405301&set=a.726728832088841&locale=ar_AR,,,الوسط,عمان,2026-05-26 20:10:50,,True,admin
PA021,القديس يوحنا دي لا سال,جبل الحسين,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/jabal-al-hussein-parish-st-john-de-la-salle-church,,,,الوسط,عمان,2026-05-26 20:10:50,,True,admin
PA022,سيدة البشارة,اللويبدة,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/jabal-al-weibdeh-parish-annunciation-church,https://www.facebook.com/profile.php?id=100064853761103,,,الوسط,عمان,2026-05-26 20:10:50,,True,admin
PA023,سيدة الكرمل,الهاشمي الشمالي,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/jabal-al-hashimi-parish-our-lady-of-carmel-church,,,,الوسط,عمان,2026-05-26 20:10:50,,True,admin
PA024,القديس يوسف,جبل عمان,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/jabal-amman-parish-saint-joseph-church,https://web.facebook.com/profile.php?id=61574751114403,https://www.instagram.com/st_joseph_church_jabal_amman/,,الوسط,عمان,2026-05-26 20:10:50,,True,admin
PA025,سيدة البشارة,شطنا,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/shatana-parish-assumption-of-our-lady-church,https://web.facebook.com/LatinShatana/?_rdc=1&_rdr#,,,الشمال,إربد,2026-05-26 20:10:50,,True,admin
PA026,القديسة تريزا الطفل يسوع,صافوط,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/safout-parish-saint-theresa-of-the-child-jesus-church,,,,الوسط,البلقاء,2026-05-26 20:10:50,,True,admin
PA027,القديس بولس الرسول,عجلون,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/ajloun-parish-saint-paul-church,https://web.facebook.com/saintpaullatinchurch,,,الشمال,عجلون,2026-05-26 20:10:50,,True,admin
PA028,سيدة الجبل,عنجرة,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/anjara-parish-our-lady-of-the-visitation-church,https://web.facebook.com/anjaralatinchurch/?_rdc=1&_rdr#,https://www.instagram.com/anjarachurch?igsh=b2lubXdyYmt3cjBo,,الشمال,عجلون,2026-05-26 20:10:50,,True,admin
PA029,قطع رأس يوحنا المعمدان,مادبا,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/madaba-parish-beheading-of-saint-john-the-baptist-church,https://www.facebook.com/profile.php?id=100064705687473#,https://www.instagram.com/johnthebaptistchurchmadaba?igsh=M29ybnIwNXdxbTU1,,الوسط,مادبا,2026-05-26 20:10:50,,True,admin
PA030,العذراء أم الكنيسة,ماركا,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/marka-parish-mary-mother-of-the-church,https://web.facebook.com/groups/564224736942720,,,الوسط,عمان,2026-05-26 20:10:50,,True,admin
PA031,القديس يعقوب الصغير,ماعين,https://www.lpj.org/ar/the-patriarchate/diocese/parishes/jordan/main-parish-saint-james-the-less-church,,,,الوسط,مادبا,2026-05-26 20:10:50,,True,admin
