person_id,school_system_sector,scd_active_from,scd_active_to,scd_currently_active_flag,scd_changed_by_user
1050,الفندقي والسياحي,2025-02-20 16:54:29,,True,admin
1399,العلمي,2025-03-11 11:15:24,,True,admin
948,العلمي,2025-02-17 13:17:50,,True,admin
965,العلمي,2026-05-29 20:58:13,,True,admin
3219,العلمي,2026-06-28 10:11:05,,True,admin
3352,الحقل الصحي,2026-09-13 20:33:29,,True,admin
1263,الحقل الهندسي,2026-09-13 20:37:03,,True,admin
625,الحقل الهندسي والعلوم والتكنولوجيا,2026-09-13 20:47:01,,True,admin
3233,الحقل الهندسي,2026-09-14 08:18:49,,True,admin
2258,الحقل الصحي,2026-09-14 08:18:54,,True,admin
2824,الحقل الهندسي,2026-09-14 08:18:54,,True,admin
664,حقل الأعمال,2026-09-14 08:18:55,,True,admin
634,الحقل الهندسي والعلوم والتكنولوجيا,2026-09-14 08:18:56,,True,admin
3237,حقل الأعمال,2026-09-14 08:18:57,,True,admin
3235,الحقل الصحي,2026-09-14 08:18:58,,True,admin
1322,الحقل الصحي والعلوم والتكنولوجيا,2026-09-14 08:18:59,,True,admin
1366,الحقل الهندسي والعلوم والتكنولوجيا,2026-09-14 08:19:00,,True,admin
2785,حقل الأعمال,2026-09-14 08:19:00,,True,admin
1451,الحقل الهندسي والعلوم والتكنولوجيا,2026-09-14 08:19:01,,True,admin
1352,الحقل الهندسي,2026-09-14 08:19:02,,True,admin
1358,الحقل الهندسي والعلوم والتكنولوجيا,2026-09-14 08:19:03,,True,admin
1325,الحقل الصحي,2026-09-14 08:19:04,,True,admin
1355,حقل العلوم والتكنولوجيا,2026-09-14 08:19:05,,True,admin
1351,حقل القانون والعلوم الشرعية,2026-09-14 08:19:06,,True,admin
1348,حقل العلوم والتكنولوجيا,2026-09-14 08:19:07,,True,admin
1411,الحقل الصحي,2026-09-14 08:19:07,,True,admin
2788,حقل اللغات والعلوم الاجتماعية,2026-09-14 08:19:08,,True,admin
1329,حقل العلوم والتكنولوجيا,2026-09-14 08:19:09,,True,admin
3326,الحقل الصحي,2026-09-14 08:19:10,,True,admin
2908,الحقل الصحي,2026-09-14 08:19:11,,True,admin
3332,حقل الأعمال,2026-09-14 08:19:12,,True,admin
837,الحقل الهندسي والعلوم والتكنولوجيا,2026-09-14 08:19:13,,True,admin
2287,حقل القانون والعلوم الشرعية,2026-09-14 08:19:13,,True,admin
2281,حقل القانون والعلوم الشرعية,2026-09-14 08:19:14,,True,admin
2288,حقل العلوم والتكنولوجيا,2026-09-14 08:19:15,,True,admin
3309,حقل الأعمال,2026-09-14 08:19:16,,True,admin
3331,حقل الأعمال,2026-09-14 08:19:18,,True,admin
2981,حقل اللغات والعلوم الاجتماعية والقانون والعلوم الشرعية,2026-09-14 08:19:19,,True,admin
2071,حقل اللغات والعلوم الاجتماعية,2026-09-14 08:19:20,,True,admin
3363,حقل القانون والعلوم الشرعية,2026-09-14 08:19:21,,True,admin
3339,الحقل الصحي,2026-09-14 08:19:22,,True,admin
3338,الحقل الصحي,2026-09-14 08:19:23,,True,admin
1562,الحقل الصحي,2026-09-14 08:19:24,,True,admin
3344,الحقل الصحي,2026-09-14 08:19:25,,True,admin
3343,الحقل الصحي,2026-09-14 08:19:26,,True,admin
3342,حقل اللغات والعلوم الاجتماعية,2026-09-14 08:19:26,,True,admin
3364,الحقل الصحي,2026-09-14 08:19:27,,True,admin
3253,الحقل الصحي,2026-09-14 08:19:28,,True,admin
359,الحقل الصحي,2026-09-14 08:19:29,,True,admin
2189,الحقل الصحي,2026-09-14 08:19:30,,True,admin
3340,الحقل الصحي,2026-09-14 08:19:31,,True,admin
3372,حقل اللغات والعلوم الاجتماعية,2026-09-14 08:19:32,,True,admin
3362,الحقل الصحي,2026-09-14 08:19:20,,True,admin
3348,حقل القانون والعلوم الشرعية,2026-09-14 08:19:17,,True,admin
