person_id,note_title,note,scd_active_from,scd_active_to,scd_currently_active_flag,scd_changed_by_user
2599,تحديات,"الاب لا يعمل
لا يوجد سيارة",2025-08-09 10:25:25,,True,admin
2602,تحديات,ماديّة,2025-08-09 20:50:26,,True,admin
526,تحديات,ماديّة,2025-02-01 20:43:09,,True,admin
2606,تحديات,ماديّة,2025-08-09 20:57:29,,True,admin
2708,تحديات,عائلية (انفصال الأب عن الأم),2025-10-19 19:15:44,,True,admin
2709,تحديات,عائلية (انفصال الأب عن الأم),2025-10-19 19:21:05,,True,admin
3132,تحديات,"ماديّة
يعيش فقط مع الأم",2025-11-20 14:00:34,,True,admin
2679,وفيات,وفاة الأب,2025-09-27 20:52:33,,True,admin
2492,وفيات,وفاة الأب,2025-06-10 17:37:39,,True,admin
2573,وفيات,وفاة الأب,2025-07-10 05:07:41,,True,admin
2580,طريق مغادرة البرعم من الشبيبة,سيارة (مع الأهل),2025-08-09 09:44:53,,True,admin
2581,طريق مغادرة البرعم من الشبيبة,سيارة (مع الأهل),2025-08-09 09:45:05,,True,admin
2582,طريق مغادرة البرعم من الشبيبة,سيارة (مع الأهل),2025-08-09 09:46:00,,True,admin
2583,طريق مغادرة البرعم من الشبيبة,سيارة (مع الأهل),2025-08-09 09:46:25,,True,admin
2584,طريق مغادرة البرعم من الشبيبة,سيارة (مع الأهل),2025-08-09 09:47:19,,True,admin
2585,طريق مغادرة البرعم من الشبيبة,سيارة (مع الأهل),2025-08-09 09:47:23,,True,admin
2586,طريق مغادرة البرعم من الشبيبة,سيارة (مع الأهل),2025-08-09 09:48:06,,True,admin
2587,طريق مغادرة البرعم من الشبيبة,تاكسي,2025-08-09 09:48:12,,True,admin
2588,طريق مغادرة البرعم من الشبيبة,سيارة (مع الأهل),2025-08-09 09:49:00,,True,admin
2589,طريق مغادرة البرعم من الشبيبة,سيارة (مع الأهل),2025-08-09 09:49:26,,True,admin
2590,طريق مغادرة البرعم من الشبيبة,سيارة (مع الأهل),2025-08-09 09:49:28,,True,admin
2591,طريق مغادرة البرعم من الشبيبة,"مشي
سيارة (مع الأهل)",2025-08-09 09:53:03,,True,admin
2592,طريق مغادرة البرعم من الشبيبة,سيارة (مع الأهل),2025-08-09 09:53:16,,True,admin
2593,طريق مغادرة البرعم من الشبيبة,سيارة (مع الأهل),2025-08-09 09:55:00,,True,admin
2594,طريق مغادرة البرعم من الشبيبة,"مشي
سيارة (مع الأهل)",2025-08-09 09:55:42,,True,admin
2595,طريق مغادرة البرعم من الشبيبة,سيارة (مع الأهل),2025-08-09 10:05:38,,True,admin
