person_youth_group_record_id,age_group,start_date,end_date,scd_active_from,scd_active_to,scd_currently_active_flag,scd_changed_by_user
PRYG000001,الجامعيّة,,,2025-01-31 11:12:25,,True,admin
PRYG000002,الجامعيّة,,,2025-01-31 11:12:36,,True,admin
PRYG000003,الجامعيّة,,,2025-01-31 11:12:38,,True,admin
PRYG000004,الجامعيّة,,,2025-01-31 11:12:38,,True,admin
PRYG000005,الجامعيّة,,,2025-01-31 11:12:42,,True,admin
PRYG000006,العاملة,,,2025-01-31 11:12:46,,True,admin
PRYG000007,العاملة,,,2025-01-31 11:12:47,,True,admin
PRYG000008,الجامعيّة,,,2025-01-31 11:12:50,,True,admin
PRYG000009,الجامعيّة,,,2025-01-31 11:12:50,,True,admin
PRYG000010,الجامعيّة,,,2025-01-31 11:12:54,,True,admin
PRYG000011,الجامعيّة,,,2025-01-31 11:12:54,,True,admin
PRYG000012,الجامعيّة,,,2025-01-31 11:13:00,,True,admin
PRYG000013,العاملة,,,2025-01-31 11:13:00,,True,admin
PRYG000014,الجامعيّة,,,2025-01-31 11:13:02,,True,admin
PRYG000015,العاملة,,,2025-01-31 11:13:03,,True,admin
PRYG000016,الجامعيّة,,,2025-01-31 11:13:03,,True,admin
PRYG000017,الجامعيّة,,,2025-01-31 11:13:06,,True,admin
PRYG000018,العاملة,,,2025-01-31 11:13:09,,True,admin
PRYG000019,العاملة,,,2025-01-31 11:13:09,,True,admin
PRYG000020,العاملة,,,2025-01-31 11:13:09,,True,admin
PRYG000021,العاملة,,,2025-01-31 11:13:12,,True,admin
PRYG000022,العاملة,,,2025-01-31 11:13:12,,True,admin
PRYG000023,الجامعيّة,,,2025-01-31 11:13:13,,True,admin
PRYG000024,الجامعيّة,,,2025-01-31 11:13:13,,True,admin
PRYG000025,الجامعيّة,,,2025-01-31 11:13:13,,True,admin
PRYG000026,العاملة,,,2025-01-31 11:13:15,,True,admin
PRYG000027,الجامعيّة,,,2025-01-31 11:13:18,,True,admin
PRYG000028,الجامعيّة,,,2025-01-31 11:13:18,,True,admin
PRYG000029,الجامعيّة,,,2025-01-31 11:13:19,,True,admin
PRYG000030,العاملة,,,2025-01-31 11:13:20,,True,admin
PRYG000031,الجامعيّة,,,2025-01-31 11:13:20,,True,admin
PRYG000032,الجامعيّة,,,2025-01-31 11:13:21,,True,admin
PRYG000033,الجامعيّة,,,2025-01-31 11:13:22,,True,admin
PRYG000034,الجامعيّة,,,2025-01-31 11:13:24,,True,admin
PRYG000035,العاملة,,,2025-01-31 11:13:25,,True,admin
PRYG000036,الجامعيّة,,,2025-01-31 11:13:25,,True,admin
PRYG000037,الجامعيّة,,,2025-01-31 11:13:26,,True,admin
PRYG000038,الجامعيّة,,,2025-01-31 11:13:27,,True,admin
PRYG000039,الجامعيّة,,,2025-01-31 11:13:29,,True,admin
PRYG000040,العاملة,,,2025-01-31 11:13:29,,True,admin
PRYG000041,الجامعيّة,,,2025-01-31 11:13:32,,True,admin
PRYG000042,الجامعيّة,,,2025-01-31 11:13:32,,True,admin
PRYG000043,الجامعيّة,,,2025-01-31 11:13:33,,True,admin
PRYG000044,الجامعيّة,,,2025-01-31 11:13:35,,True,admin
PRYG000045,العاملة,,,2025-01-31 11:13:36,,True,admin
PRYG000046,العاملة,,,2025-01-31 11:13:36,,True,admin
PRYG000047,العاملة,,,2025-01-31 11:13:40,,True,admin
PRYG000048,الجامعيّة,,,2025-01-31 11:13:41,,True,admin
PRYG000049,الجامعيّة,,,2025-01-31 11:13:42,,True,admin
PRYG000050,الجامعيّة,,,2025-01-31 11:13:42,,True,admin
PRYG000051,العاملة,,,2025-01-31 11:13:44,,True,admin
PRYG000052,العاملة,,,2025-01-31 11:13:45,,True,admin
PRYG000053,العاملة,,,2025-01-31 11:13:45,,True,admin
PRYG000054,العاملة,,,2025-01-31 11:13:46,,True,admin
PRYG000055,الجامعيّة,,,2025-01-31 11:13:46,,True,admin
PRYG000056,الجامعيّة,,,2025-01-31 11:13:46,,True,admin
PRYG000057,الجامعيّة,,,2025-01-31 11:13:48,,True,admin
PRYG000058,الجامعيّة,,,2025-01-31 11:13:49,,True,admin
PRYG000059,الجامعيّة,,,2025-01-31 11:13:49,,True,admin
PRYG000060,الجامعيّة,,,2025-01-31 11:13:49,,True,admin
PRYG000061,العاملة,,,2025-01-31 11:13:51,,True,admin
PRYG000062,العاملة,,,2025-01-31 11:13:52,,True,admin
PRYG000063,الجامعيّة,,,2025-01-31 11:13:53,,True,admin
PRYG000064,الجامعيّة,,,2025-01-31 11:13:55,,True,admin
PRYG000065,الجامعيّة,,,2025-01-31 11:14:00,,True,admin
PRYG000066,الجامعيّة,,,2025-01-31 11:14:01,,True,admin
PRYG000067,الجامعيّة,,,2025-01-31 11:14:02,,True,admin
PRYG000068,الجامعيّة,,,2025-01-31 11:14:03,,True,admin
PRYG000069,الجامعيّة,,,2025-01-31 11:14:11,,True,admin
PRYG000070,العاملة,,,2025-01-31 11:14:11,,True,admin
PRYG000071,الجامعيّة,,,2025-01-31 11:14:12,,True,admin
PRYG000072,العاملة,,,2025-01-31 11:14:14,,True,admin
PRYG000073,الجامعيّة,,,2025-01-31 11:14:15,,True,admin
PRYG000074,الجامعيّة,,,2025-01-31 11:14:16,,True,admin
PRYG000075,الجامعيّة,,,2025-01-31 11:14:17,,True,admin
PRYG000076,الجامعيّة,,,2025-01-31 11:14:17,,True,admin
PRYG000077,الجامعيّة,,,2025-01-31 11:14:19,,True,admin
PRYG000078,الجامعيّة,,,2025-01-31 11:14:19,,True,admin
PRYG000079,الجامعيّة,,,2025-01-31 11:14:22,,True,admin
PRYG000080,الجامعيّة,,,2025-01-31 11:14:26,,True,admin
PRYG000081,العاملة,,,2025-01-31 11:14:26,,True,admin
PRYG000082,العاملة,,,2025-01-31 11:14:27,,True,admin
PRYG000083,العاملة,,,2025-01-31 11:14:27,,True,admin
PRYG000084,الجامعيّة,,,2025-01-31 11:14:27,,True,admin
PRYG000085,الجامعيّة,,,2025-01-31 11:14:27,,True,admin
PRYG000086,الجامعيّة,,,2025-01-31 11:14:29,,True,admin
PRYG000087,العاملة,,,2025-01-31 11:14:30,,True,admin
PRYG000088,الجامعيّة,,,2025-01-31 11:14:32,,True,admin
PRYG000089,الجامعيّة,,,2025-01-31 11:14:33,,True,admin
PRYG000090,العاملة,,,2025-01-31 11:14:34,,True,admin
PRYG000091,الجامعيّة,,,2025-01-31 11:14:36,,True,admin
PRYG000092,العاملة,,,2025-01-31 11:14:37,,True,admin
PRYG000093,الجامعيّة,,,2025-01-31 11:14:38,,True,admin
PRYG000094,العاملة,,,2025-01-31 11:14:39,,True,admin
PRYG000095,العاملة,,,2025-01-31 11:14:40,,True,admin
PRYG000096,العاملة,,,2025-01-31 11:14:41,,True,admin
PRYG000097,الجامعيّة,,,2025-01-31 11:14:41,,True,admin
PRYG000098,الجامعيّة,,,2025-01-31 11:14:42,,True,admin
PRYG000099,الجامعيّة,,,2025-01-31 11:14:42,,True,admin
PRYG000100,الجامعيّة,,,2025-01-31 11:14:44,,True,admin
PRYG000101,العاملة,,,2025-01-31 11:14:45,,True,admin
PRYG000102,الجامعيّة,,,2025-01-31 11:14:45,,True,admin
PRYG000103,الجامعيّة,,,2025-01-31 11:14:45,,True,admin
PRYG000104,الجامعيّة,,,2025-01-31 11:14:45,,True,admin
PRYG000105,الجامعيّة,,,2025-01-31 11:14:45,,True,admin
PRYG000106,الجامعيّة,,,2025-01-31 11:14:47,,True,admin
PRYG000107,الجامعيّة,,,2025-01-31 11:14:47,,True,admin
PRYG000108,الجامعيّة,,,2025-01-31 11:14:47,,True,admin
PRYG000109,الجامعيّة,,,2025-01-31 11:14:50,,True,admin
PRYG000110,الجامعيّة,,,2025-01-31 11:14:51,,True,admin
PRYG000111,العاملة,,,2025-01-31 11:14:51,,True,admin
PRYG000112,الجامعيّة,,,2025-01-31 11:14:52,,True,admin
PRYG000113,الجامعيّة,,,2025-01-31 11:14:53,,True,admin
PRYG000114,الجامعيّة,,,2025-01-31 11:14:53,,True,admin
PRYG000115,العاملة,,,2025-01-31 11:14:54,,True,admin
PRYG000116,الجامعيّة,,,2025-01-31 11:14:54,,True,admin
PRYG000117,الجامعيّة,,,2025-01-31 11:14:57,,True,admin
PRYG000118,العاملة,,,2025-01-31 11:14:58,,True,admin
PRYG000119,الجامعيّة,,,2025-01-31 11:14:58,,True,admin
PRYG000120,العاملة,,,2025-01-31 11:14:59,,True,admin
PRYG000121,الجامعيّة,,,2025-01-31 11:14:00,,True,admin
PRYG000122,العاملة,,,2025-01-31 11:15:00,,True,admin
PRYG000123,الجامعيّة,,,2025-01-31 11:15:02,,True,admin
PRYG000124,الجامعيّة,,,2025-01-31 11:15:04,,True,admin
PRYG000125,العاملة,,,2025-01-31 11:15:06,,True,admin
PRYG000126,الجامعيّة,,,2025-01-31 11:15:06,,True,admin
PRYG000127,العاملة,,,2025-01-31 11:15:07,,True,admin
PRYG000128,الجامعيّة,,,2025-01-31 11:15:07,,True,admin
PRYG000129,الجامعيّة,,,2025-01-31 11:15:09,,True,admin
PRYG000130,العاملة,,,2025-01-31 11:15:11,,True,admin
PRYG000131,الجامعيّة,,,2025-01-31 11:15:12,,True,admin
PRYG000132,العاملة,,,2025-01-31 11:15:14,,True,admin
PRYG000133,الجامعيّة,,,2025-01-31 11:15:15,,True,admin
PRYG000134,الجامعيّة,,,2025-01-31 11:15:16,,True,admin
PRYG000135,الجامعيّة,,,2025-01-31 11:15:16,,True,admin
PRYG000136,الجامعيّة,,,2025-01-31 11:15:17,,True,admin
PRYG000137,الجامعيّة,,,2025-01-31 11:15:18,,True,admin
PRYG000138,الجامعيّة,,,2025-01-31 11:15:18,,True,admin
PRYG000139,العاملة,,,2025-01-31 11:15:20,,True,admin
PRYG000140,العاملة,,,2025-01-31 11:15:22,,True,admin
PRYG000141,العاملة,,,2025-01-31 11:15:27,,True,admin
PRYG000142,العاملة,,,2025-01-31 11:15:28,,True,admin
PRYG000143,الجامعيّة,,,2025-01-31 11:15:33,,True,admin
PRYG000144,الجامعيّة,,,2025-01-31 11:15:33,,True,admin
PRYG000145,الجامعيّة,,,2025-01-31 11:15:33,,True,admin
PRYG000146,الجامعيّة,,,2025-01-31 11:15:33,,True,admin
PRYG000147,العاملة,,,2025-01-31 11:15:34,,True,admin
PRYG000148,العاملة,,,2026-01-26 16:20:28,,True,admin
PRYG000149,الجامعيّة,,,2025-01-31 11:15:34,,True,admin
PRYG000150,الجامعيّة,,,2025-01-31 11:15:36,,True,admin
PRYG000151,العاملة,,,2025-01-31 11:15:37,,True,admin
PRYG000152,الجامعيّة,,,2025-01-31 11:15:38,,True,admin
PRYG000153,الجامعيّة,,,2025-01-31 11:15:39,,True,admin
PRYG000154,الجامعيّة,,,2025-01-31 11:15:39,,True,admin
PRYG000155,الجامعيّة,,,2025-01-31 11:15:40,,True,admin
PRYG000156,الجامعيّة,,,2025-01-31 11:15:41,,True,admin
PRYG000157,الجامعيّة,,,2025-01-31 11:15:41,,True,admin
PRYG000158,العاملة,,,2025-01-31 11:15:41,,True,admin
PRYG000159,الجامعيّة,,,2025-01-31 11:15:44,,True,admin
PRYG000160,الجامعيّة,,,2025-01-31 11:15:44,,True,admin
PRYG000161,الجامعيّة,,,2025-01-31 11:15:44,,True,admin
PRYG000162,الجامعيّة,,,2025-01-31 11:15:45,,True,admin
PRYG000163,الجامعيّة,,,2025-01-31 11:15:45,,True,admin
PRYG000164,العاملة,,,2025-01-31 11:15:45,,True,admin
PRYG000165,الجامعيّة,,,2025-01-31 11:15:45,,True,admin
PRYG000166,الجامعيّة,,,2025-01-31 11:15:46,,True,admin
PRYG000167,الجامعيّة,,,2025-01-31 11:15:48,,True,admin
PRYG000168,الجامعيّة,,,2025-01-31 11:15:50,,True,admin
PRYG000169,الجامعيّة,,,2025-01-31 11:15:53,,True,admin
PRYG000170,العاملة,,,2025-01-31 11:15:53,,True,admin
