email_record_id,is_primary,scd_active_from,scd_active_to,scd_currently_active_flag,scd_changed_by_user
EM000005,True,2025-04-01 18:35:47,,True,admin
EM000007,True,2025-02-23 16:48:58,,True,admin
EM000008,True,2025-03-14 09:05:49,,True,admin
EM000009,True,2025-02-03 14:23:56,,True,admin
EM000010,True,2025-01-31 11:15:44,,True,admin
EM000011,True,2025-03-12 20:35:46,,True,admin
EM000012,True,2025-03-13 16:39:21,,True,admin
EM000013,True,2025-03-11 15:01:54,,True,admin
EM000014,True,2025-03-12 17:28:51,,True,admin
EM000015,True,2025-03-16 09:34:01,,True,admin
EM000016,True,2025-02-28 03:21:59,,True,admin
EM000018,True,2025-03-22 20:51:25,,True,admin
EM000019,True,2025-03-14 17:26:25,,True,admin
EM000021,True,2025-01-31 11:18:33,,True,admin
EM000022,True,2025-02-01 20:49:57,,True,admin
EM000023,True,2025-02-01 20:51:51,,True,admin
EM000024,True,2025-04-05 19:39:30,,True,admin
EM000026,True,2025-02-03 12:38:06,,True,admin
EM000028,True,2025-01-31 11:16:28,,True,admin
EM000029,True,2025-01-31 11:16:16,,True,admin
EM000030,True,2025-04-28 18:12:07,,True,admin
EM000031,True,2025-03-11 11:25:56,,True,admin
EM000032,True,2025-01-31 11:16:43,,True,admin
EM000033,True,2025-03-01 14:46:42,,True,admin
EM000034,True,2025-02-04 13:52:51,,True,admin
EM000035,True,2025-03-15 22:12:45,,True,admin
EM000036,True,2025-03-12 17:46:20,,True,admin
EM000037,True,2025-02-01 12:23:59,,True,admin
EM000038,True,2025-02-01 20:50:47,,True,admin
EM000040,True,2025-02-01 20:56:13,,True,admin
EM000041,True,2025-02-18 13:31:59,,True,admin
EM000042,True,2025-01-31 11:14:47,,True,admin
EM000043,True,2025-03-15 20:32:02,,True,admin
EM000044,True,2025-02-16 23:03:25,,True,admin
EM000045,True,2025-06-09 17:38:08,,True,admin
EM000046,True,2025-02-25 20:28:35,,True,admin
EM000047,True,2025-02-05 17:12:40,,True,admin
EM000048,True,2025-01-31 11:18:02,,True,admin
EM000049,True,2025-03-14 12:41:23,,True,admin
EM000050,True,2025-04-21 15:15:50,,True,admin
EM000052,True,2025-01-31 11:17:21,,True,admin
EM000053,True,2025-03-09 20:05:01,,True,admin
EM000054,True,2025-02-23 19:35:32,,True,admin
EM000055,True,2025-03-10 14:23:29,,True,admin
EM000056,True,2025-02-01 12:13:29,,True,admin
EM000057,True,2025-03-13 18:23:57,,True,admin
EM000058,True,2025-07-15 11:53:26,,True,admin
EM000059,True,2025-03-13 18:29:05,,True,admin
EM000060,True,2025-01-31 11:29:09,,True,admin
EM000061,True,2025-02-16 23:09:17,,True,admin
EM000062,True,2025-02-24 21:13:12,,True,admin
EM000063,True,2025-03-11 07:47:15,,True,admin
EM000064,True,2025-02-17 15:39:54,,True,admin
EM000065,False,2025-02-17 15:39:54,,True,admin
EM000066,True,2025-02-27 18:03:13,,True,admin
EM000067,False,2025-02-27 18:03:13,,True,admin
EM000068,True,2025-03-11 14:45:00,,True,admin
EM000069,False,2025-03-11 14:45:00,,True,admin
EM000070,True,2025-01-31 11:15:57,,True,admin
EM000071,True,2026-01-24 17:45:48,,True,admin
EM000072,True,2025-03-10 15:59:32,,True,admin
EM000073,True,2024-11-02 15:18:54,,True,admin
EM000074,True,2024-02-28 23:04:44,,True,admin
EM000075,True,2024-03-02 01:00:18,,True,admin
EM000076,True,2025-02-12 23:15:02,,True,admin
EM000078,True,2025-02-03 15:28:18,,True,admin
EM000079,True,2025-02-03 15:57:39,,True,admin
EM000080,True,2025-01-31 11:14:58,,True,admin
EM000081,True,2024-04-15 19:59:12,,True,admin
EM000082,True,2025-01-31 11:16:27,,True,admin
EM000083,True,2025-02-03 15:34:05,,True,admin
EM000084,True,2026-01-25 15:16:45,,True,admin
EM000085,True,2025-03-29 18:07:08,,True,admin
EM000086,True,2025-02-03 12:34:52,,True,admin
EM000087,True,2025-02-03 14:48:20,,True,admin
EM000088,True,2025-02-02 21:06:35,,True,admin
EM000089,True,2025-03-29 18:07:06,,True,admin
EM000090,True,2025-03-11 17:50:00,,True,admin
EM000091,True,2024-04-15 20:09:38,,True,admin
EM000092,True,2024-04-15 20:11:25,,True,admin
EM000093,True,2025-01-31 11:16:02,,True,admin
EM000027,True,2025-03-11 11:15:24,,True,admin
EM000006,True,2024-03-23 22:26:10,,True,admin
EM000001,True,2025-02-17 13:17:50,,True,admin
EM000003,False,2025-02-17 13:17:50,,True,admin
EM000099,True,2026-05-27 19:47:34,,True,admin
EM000102,True,2026-05-27 20:23:46,,True,admin
EM000103,True,2026-05-27 20:25:09,,True,admin
EM000104,True,2026-05-27 20:28:08,,True,admin
EM000105,True,2026-05-28 13:59:06,,True,admin
EM000106,True,2026-05-29 13:40:34,,True,admin
EM000107,True,2026-05-29 13:44:42,,True,admin
EM000108,True,2026-05-29 13:57:48,,True,admin
EM000109,True,2026-05-29 14:00:26,,True,admin
EM000110,True,2026-05-29 14:02:58,,True,admin
EM000111,True,2026-05-29 14:05:15,,True,admin
EM000113,True,2026-05-29 15:00:30,,True,admin
EM000114,True,2026-05-29 15:00:49,,True,admin
EM000115,True,2026-05-29 15:01:14,,True,admin
EM000116,True,2026-05-29 15:01:38,,True,admin
EM000117,True,2026-05-29 15:01:58,,True,admin
EM000118,True,2026-05-29 15:02:20,,True,admin
EM000119,True,2026-05-29 15:02:43,,True,admin
EM000120,True,2026-05-29 15:03:02,,True,admin
EM000121,True,2026-05-29 15:03:27,,True,admin
EM000122,True,2026-05-29 15:37:15,,True,admin
EM000123,True,2026-05-29 15:38:01,,True,admin
EM000124,True,2026-05-29 15:38:37,,True,admin
EM000125,True,2026-05-29 15:39:13,,True,admin
EM000126,True,2026-05-29 15:40:27,,True,admin
EM000127,True,2026-05-29 15:41:29,,True,admin
EM000128,True,2026-05-29 15:42:49,,True,admin
EM000129,True,2026-05-29 15:43:47,,True,admin
EM000130,True,2026-05-29 15:44:45,,True,admin
EM000131,True,2026-05-29 15:46:28,,True,admin
EM000132,True,2026-05-29 15:47:48,,True,admin
EM000133,True,2026-05-29 15:48:25,,True,admin
EM000134,True,2026-05-29 15:50:39,,True,admin
EM000135,True,2026-05-29 15:51:16,,True,admin
EM000136,True,2026-05-29 15:51:58,,True,admin
EM000137,True,2026-05-29 15:52:53,,True,admin
EM000138,True,2026-05-29 15:54:36,,True,admin
EM000139,True,2026-05-29 15:59:09,,True,admin
EM000140,True,2026-05-29 16:00:04,,True,admin
EM000141,True,2026-05-29 16:00:40,,True,admin
EM000142,True,2026-05-29 16:02:13,,True,admin
EM000143,True,2026-05-29 16:03:54,,True,admin
EM000144,True,2026-05-29 16:04:54,,True,admin
EM000145,True,2026-05-29 16:05:28,,True,admin
EM000146,True,2026-05-29 16:06:38,,True,admin
EM000147,True,2026-05-29 16:08:20,,True,admin
EM000148,True,2026-05-29 16:09:08,,True,admin
EM000149,True,2026-05-29 16:10:42,,True,admin
EM000150,True,2026-05-29 16:11:38,,True,admin
EM000151,True,2026-05-29 16:12:46,,True,admin
EM000152,True,2026-05-29 16:13:54,,True,admin
EM000153,True,2026-05-29 16:15:13,,True,admin
EM000154,True,2026-05-29 16:15:56,,True,admin
EM000155,True,2026-05-29 16:16:54,,True,admin
EM000156,True,2026-05-29 16:17:52,,True,admin
EM000157,True,2026-05-29 16:18:38,,True,admin
