mobile_number_record_id,is_primary,scd_active_from,scd_active_to,scd_currently_active_flag,scd_changed_by_user
MB000001,True,2025-01-31 11:12:25,,True,admin
MB000002,True,2025-01-31 11:12:36,,True,admin
MB000003,True,2025-01-31 11:12:38,,True,admin
MB000004,True,2025-01-31 11:12:38,,True,admin
MB000005,True,2025-01-31 11:12:42,,True,admin
MB000006,True,2025-01-31 11:12:46,,True,admin
MB000007,True,2025-01-31 11:12:47,,True,admin
MB000008,True,2025-01-31 11:12:50,,True,admin
MB000009,True,2025-01-31 11:12:50,,True,admin
MB000010,True,2025-01-31 11:12:54,,True,admin
MB000011,True,2025-01-31 11:12:54,,True,admin
MB000012,True,2025-01-31 11:13:00,,True,admin
MB000013,True,2025-01-31 11:13:00,,True,admin
MB000015,True,2025-01-31 11:13:02,,True,admin
MB000016,True,2025-01-31 11:13:03,,True,admin
MB000017,True,2025-01-31 11:13:03,,True,admin
MB000019,True,2025-01-31 11:13:06,,True,admin
MB000020,True,2025-01-31 11:13:09,,True,admin
MB000021,True,2025-01-31 11:13:09,,True,admin
MB000022,True,2025-01-31 11:13:09,,True,admin
MB000023,True,2025-01-31 11:13:12,,True,admin
MB000024,True,2025-01-31 11:13:12,,True,admin
MB000025,True,2025-01-31 11:13:13,,True,admin
MB000026,True,2025-01-31 11:13:13,,True,admin
MB000027,True,2025-01-31 11:13:13,,True,admin
MB000028,True,2025-01-31 11:13:15,,True,admin
MB000029,True,2025-01-31 11:13:18,,True,admin
MB000030,True,2025-01-31 11:13:18,,True,admin
MB000031,True,2025-01-31 11:13:19,,True,admin
MB000032,True,2025-01-31 11:13:20,,True,admin
MB000033,True,2025-01-31 11:13:20,,True,admin
MB000034,True,2025-01-31 11:13:21,,True,admin
MB000035,True,2025-01-31 11:13:22,,True,admin
MB000037,True,2025-01-31 11:13:24,,True,admin
MB000038,True,2025-01-31 11:13:25,,True,admin
MB000039,True,2025-01-31 11:13:25,,True,admin
MB000040,True,2025-01-31 11:13:26,,True,admin
MB000041,True,2025-01-31 11:13:27,,True,admin
MB000043,True,2025-01-31 11:13:29,,True,admin
MB000044,True,2025-01-31 11:13:29,,True,admin
MB000045,True,2025-01-31 11:13:32,,True,admin
MB000046,True,2025-01-31 11:13:32,,True,admin
MB000047,True,2025-01-31 11:13:33,,True,admin
MB000048,True,2025-01-31 11:13:35,,True,admin
MB000049,True,2025-01-31 11:13:36,,True,admin
MB000050,True,2025-01-31 11:13:36,,True,admin
MB000051,True,2025-01-31 11:13:40,,True,admin
MB000052,True,2025-01-31 11:13:41,,True,admin
MB000053,True,2025-01-31 11:13:42,,True,admin
MB000054,True,2025-01-31 11:13:42,,True,admin
MB000055,True,2025-01-31 11:13:44,,True,admin
MB000056,False,2025-01-31 11:13:44,,True,admin
MB000057,True,2025-01-31 11:13:45,,True,admin
MB000058,True,2025-01-31 11:13:45,,True,admin
MB000060,True,2025-01-31 11:13:46,,True,admin
MB000061,True,2025-01-31 11:13:46,,True,admin
MB000062,True,2025-01-31 11:13:48,,True,admin
MB000063,True,2025-01-31 11:13:49,,True,admin
MB000064,True,2025-01-31 11:13:49,,True,admin
MB000065,True,2025-01-31 11:13:49,,True,admin
MB000067,True,2025-01-31 11:13:51,,True,admin
MB000068,True,2025-01-31 11:13:52,,True,admin
MB000069,True,2025-01-31 11:13:53,,True,admin
MB000070,True,2025-01-31 11:13:55,,True,admin
MB000071,True,2025-01-31 11:14:00,,True,admin
MB000072,True,2025-01-31 11:14:01,,True,admin
MB000073,True,2025-01-31 11:14:02,,True,admin
MB000074,True,2025-01-31 11:14:03,,True,admin
MB000077,True,2025-01-31 11:14:11,,True,admin
MB000078,True,2025-01-31 11:14:11,,True,admin
MB000079,True,2025-01-31 11:14:12,,True,admin
MB000081,True,2025-01-31 11:14:14,,True,admin
MB000082,True,2025-01-31 11:14:15,,True,admin
MB000083,True,2025-01-31 11:14:16,,True,admin
MB000084,True,2025-01-31 11:14:17,,True,admin
MB000085,True,2025-01-31 11:14:17,,True,admin
MB000086,True,2025-01-31 11:14:19,,True,admin
MB000088,True,2025-01-31 11:14:22,,True,admin
MB000090,True,2025-01-31 11:14:26,,True,admin
MB000091,True,2025-01-31 11:14:26,,True,admin
MB000092,True,2025-01-31 11:14:27,,True,admin
MB000093,True,2025-01-31 11:14:27,,True,admin
MB000094,True,2025-01-31 11:14:27,,True,admin
MB000095,True,2025-01-31 11:14:27,,True,admin
MB000097,True,2025-01-31 11:14:29,,True,admin
MB000098,True,2025-01-31 11:14:30,,True,admin
MB000100,True,2025-01-31 11:14:32,,True,admin
MB000101,True,2025-01-31 11:14:33,,True,admin
MB000102,True,2025-01-31 11:14:34,,True,admin
MB000104,True,2025-01-31 11:14:36,,True,admin
MB000105,True,2025-01-31 11:14:37,,True,admin
MB000106,True,2025-01-31 11:14:38,,True,admin
MB000107,True,2025-01-31 11:14:39,,True,admin
MB000109,True,2025-01-31 11:14:40,,True,admin
MB000111,True,2025-01-31 11:14:41,,True,admin
MB000112,True,2025-01-31 11:14:41,,True,admin
MB000113,True,2025-01-31 11:14:42,,True,admin
MB000114,True,2025-01-31 11:14:42,,True,admin
MB000115,True,2025-01-31 11:14:44,,True,admin
MB000116,True,2025-01-31 11:14:45,,True,admin
MB000117,True,2025-01-31 11:14:45,,True,admin
MB000118,True,2025-01-31 11:14:45,,True,admin
MB000119,True,2025-01-31 11:14:45,,True,admin
MB000120,True,2025-01-31 11:14:45,,True,admin
MB000121,True,2025-01-31 11:14:47,,True,admin
MB000123,True,2025-01-31 11:14:47,,True,admin
MB000124,True,2025-01-31 11:14:47,,True,admin
MB000125,True,2025-01-31 11:14:50,,True,admin
MB000127,True,2025-01-31 11:14:51,,True,admin
MB000128,True,2025-01-31 11:14:51,,True,admin
MB000129,True,2025-01-31 11:14:52,,True,admin
MB000130,True,2025-01-31 11:14:53,,True,admin
MB000131,True,2025-01-31 11:14:53,,True,admin
MB000132,True,2025-01-31 11:14:54,,True,admin
MB000133,True,2025-01-31 11:14:54,,True,admin
MB000134,True,2025-01-31 11:14:57,,True,admin
MB000137,True,2025-01-31 11:14:58,,True,admin
MB000138,True,2025-01-31 11:14:58,,True,admin
MB000139,True,2025-01-31 11:14:59,,True,admin
MB000140,True,2025-01-31 11:14:00,,True,admin
MB000141,True,2025-01-31 11:15:00,,True,admin
MB000143,True,2025-01-31 11:15:02,,True,admin
MB000144,True,2025-01-31 11:15:04,,True,admin
MB000145,True,2025-01-31 11:15:06,,True,admin
