school_record_id,grade,scd_active_from,scd_active_to,scd_currently_active_flag,scd_changed_by_user
SC000001,الصف الحادي عشر (الأول ثانوي),2025-01-31 17:12:27,,True,admin
SC000001,الصف الثاني عشر (التوجيهي),2025-01-31 17:12:27,,True,admin
SC000002,الصف الثاني عشر (التوجيهي),2025-01-31 17:22:22,,True,admin
SC000003,الصف الثامن,2025-01-31 17:27:30,,True,admin
SC000003,الصف التاسع,2025-01-31 17:27:30,,True,admin
SC000004,الصف الحادي عشر (الأول ثانوي),2025-01-31 17:27:34,,True,admin
SC000004,الصف الثاني عشر (التوجيهي),2025-01-31 17:27:34,,True,admin
SC000005,الصف الرابع,2025-01-31 19:11:47,,True,admin
SC000005,الصف الخامس,2025-01-31 19:11:47,,True,admin
SC000006,الصف العاشر,2025-01-31 19:11:54,,True,admin
SC000006,الصف الحادي عشر (الأول ثانوي),2025-01-31 19:11:54,,True,admin
SC000007,الصف الثاني عشر (التوجيهي),2025-01-31 19:11:58,,True,admin
SC000008,الصف الثالث,2025-01-31 19:13:52,,True,admin
SC000008,الصف الرابع,2025-01-31 19:13:52,,True,admin
SC000009,الصف الثاني,2025-01-31 19:15:56,,True,admin
SC000009,الصف الثالث,2025-01-31 19:15:56,,True,admin
SC000010,الصف العاشر,2025-01-31 19:18:25,,True,admin
SC000010,الصف الحادي عشر (الأول ثانوي),2025-01-31 19:18:25,,True,admin
SC000011,الصف التاسع,2025-01-31 19:19:10,,True,admin
SC000011,الصف العاشر,2025-01-31 19:19:10,,True,admin
SC000012,الصف الخامس,2025-01-31 19:50:29,,True,admin
SC000012,الصف السادس,2025-01-31 19:50:29,,True,admin
SC000013,الصف الحادي عشر (الأول ثانوي),2025-01-31 19:50:31,,True,admin
SC000013,الصف الثاني عشر (التوجيهي),2025-01-31 19:50:31,,True,admin
SC000014,الصف العاشر,2025-01-31 19:51:11,,True,admin
SC000014,الصف الحادي عشر (الأول ثانوي),2025-01-31 19:51:11,,True,admin
SC000015,الصف العاشر,2025-01-31 19:51:53,,True,admin
SC000015,الصف الحادي عشر (الأول ثانوي),2025-01-31 19:51:53,,True,admin
SC000016,الصف العاشر,2025-01-31 19:52:29,,True,admin
SC000016,الصف الحادي عشر (الأول ثانوي),2025-01-31 19:52:29,,True,admin
SC000017,الصف الثاني عشر (التوجيهي),2025-01-31 19:58:29,,True,admin
SC000018,الصف التاسع,2025-01-31 19:59:07,,True,admin
SC000018,الصف العاشر,2025-01-31 19:59:07,,True,admin
SC000019,الصف العاشر,2025-01-31 20:07:14,,True,admin
SC000019,الصف الحادي عشر (الأول ثانوي),2025-01-31 20:07:14,,True,admin
SC000020,الصف العاشر,2025-01-31 20:10:48,,True,admin
SC000020,الصف الحادي عشر (الأول ثانوي),2025-01-31 20:10:48,,True,admin
SC000021,الصف التاسع,2025-01-31 20:28:49,,True,admin
SC000021,الصف العاشر,2025-01-31 20:28:49,,True,admin
SC000022,الصف العاشر,2025-01-31 20:34:13,,True,admin
SC000022,الصف الحادي عشر (الأول ثانوي),2025-01-31 20:34:13,,True,admin
SC000023,الصف التاسع,2025-01-31 20:45:50,,True,admin
SC000023,الصف العاشر,2025-01-31 20:45:50,,True,admin
SC000025,الصف الثاني عشر (التوجيهي),2025-01-31 22:45:19,,True,admin
SC000026,الصف الأول,2025-02-01 09:51:14,,True,admin
SC000026,الصف الثاني,2025-02-01 09:51:14,,True,admin
SC000027,الروضة الصغرى (KG1),2025-02-01 09:52:53,,True,admin
SC000027,الروضة الكبرى (KG2),2025-02-01 09:52:53,,True,admin
SC000028,الروضة الكبرى (KG2),2025-02-01 10:26:32,,True,admin
SC000028,الصف الأول,2025-02-01 10:26:32,,True,admin
SC000030,الصف السادس,2025-02-01 11:51:25,,True,admin
SC000030,الصف السابع,2025-02-01 11:51:25,,True,admin
SC000031,الصف الثامن,2025-02-01 12:21:18,,True,admin
SC000031,الصف التاسع,2025-02-01 12:21:18,,True,admin
SC000032,الصف العاشر,2025-02-01 12:29:45,,True,admin
SC000032,الصف الحادي عشر (الأول ثانوي),2025-02-01 12:29:45,,True,admin
SC000033,الصف الحادي عشر (الأول ثانوي),2025-02-01 12:42:41,,True,admin
SC000033,الصف الثاني عشر (التوجيهي),2025-02-01 12:42:41,,True,admin
SC000034,الصف الثالث,2025-02-01 13:47:43,,True,admin
SC000034,الصف الرابع,2025-02-01 13:47:43,,True,admin
SC000035,الصف الثالث,2025-02-01 13:49:04,,True,admin
SC000035,الصف الرابع,2025-02-01 13:49:04,,True,admin
SC000036,الصف الثامن,2025-02-01 13:51:21,,True,admin
SC000036,الصف التاسع,2025-02-01 13:51:21,,True,admin
SC000037,الصف السادس,2025-02-01 13:55:00,,True,admin
SC000037,الصف السابع,2025-02-01 13:55:00,,True,admin
SC000038,الصف الحادي عشر (الأول ثانوي),2025-02-01 13:57:44,,True,admin
SC000038,الصف الثاني عشر (التوجيهي),2025-02-01 13:57:44,,True,admin
SC000039,الصف الأول,2025-02-01 14:11:35,,True,admin
SC000039,الصف الثاني,2025-02-01 14:11:35,,True,admin
SC000040,الصف الأول,2025-02-01 14:11:48,,True,admin
SC000040,الصف الثاني,2025-02-01 14:11:48,,True,admin
SC000041,الروضة الصغرى (KG1),2025-02-01 14:11:59,,True,admin
SC000041,الروضة الكبرى (KG2),2025-02-01 14:11:59,,True,admin
SC000042,الصف الخامس,2025-02-01 14:12:54,,True,admin
SC000042,الصف السادس,2025-02-01 14:12:54,,True,admin
SC000043,الصف الرابع,2025-02-01 14:12:57,,True,admin
SC000043,الصف الخامس,2025-02-01 14:12:57,,True,admin
SC000044,الروضة الكبرى (KG2),2025-02-01 14:13:18,,True,admin
SC000044,الصف الأول,2025-02-01 14:13:18,,True,admin
SC000045,الروضة الكبرى (KG2),2025-02-01 14:13:58,,True,admin
SC000045,الصف الأول,2025-02-01 14:13:58,,True,admin
SC000046,الصف الخامس,2025-02-01 14:15:09,,True,admin
SC000046,الصف السادس,2025-02-01 14:15:09,,True,admin
SC000047,الصف الثاني,2025-02-01 14:15:29,,True,admin
