person_id,timestamp,youth_group_id,scd_active_from,scd_active_to,scd_currently_active_flag,scd_changed_by_user
0,2025-01-31 11:12:11,YG005,2025-01-31 11:12:11,,True,admin
1,2025-01-31 11:12:21,YG022,2025-01-31 11:12:21,,True,admin
2,2025-01-31 11:12:25,YG015,2025-01-31 11:12:25,,True,admin
3,2025-01-31 11:12:36,YG023,2025-01-31 11:12:36,,True,admin
4,2025-01-31 11:12:38,YG022,2025-01-31 11:12:38,,True,admin
5,2025-01-31 11:12:38,YG007,2025-01-31 11:12:38,,True,admin
6,2025-01-31 11:12:42,YG027,2025-01-31 11:12:42,,True,admin
7,2025-01-31 11:12:46,YG023,2025-01-31 11:12:46,,True,admin
8,2025-01-31 11:12:47,YG005,2025-01-31 11:12:47,,True,admin
9,2025-01-31 11:12:50,YG012,2025-01-31 11:12:50,,True,admin
10,2025-01-31 11:12:50,YG016,2025-01-31 11:12:50,,True,admin
11,2025-01-31 11:12:54,YG029,2025-01-31 11:12:54,,True,admin
12,2025-01-31 11:12:54,YG019,2025-01-31 11:12:54,,True,admin
13,2025-01-31 11:13:00,YG023,2025-01-31 11:13:00,,True,admin
14,2025-01-31 11:13:00,YG012,2025-01-31 11:13:00,,True,admin
15,2025-01-31 11:13:01,YG023,2025-01-31 11:13:01,,True,admin
16,2025-01-31 11:13:02,YG021,2025-01-31 11:13:02,,True,admin
17,2025-01-31 11:13:03,YG016,2025-01-31 11:13:03,,True,admin
18,2025-01-31 11:13:03,YG027,2025-01-31 11:13:03,,True,admin
19,2025-01-31 11:13:04,YG010,2025-01-31 11:13:04,,True,admin
20,2025-01-31 11:13:06,YG012,2025-01-31 11:13:06,,True,admin
21,2025-01-31 11:13:09,YG003,2025-01-31 11:13:09,,True,admin
22,2025-01-31 11:13:09,YG012,2025-01-31 11:13:09,,True,admin
23,2025-01-31 11:13:09,YG003,2025-01-31 11:13:09,,True,admin
24,2025-01-31 11:13:12,YG004,2025-01-31 11:13:12,,True,admin
25,2025-01-31 11:13:12,YG005,2025-01-31 11:13:12,,True,admin
26,2025-01-31 11:13:13,YG012,2025-01-31 11:13:13,,True,admin
27,2025-01-31 11:13:13,YG016,2025-01-31 11:13:13,,True,admin
28,2025-01-31 11:13:13,YG003,2025-01-31 11:13:13,,True,admin
29,2025-01-31 11:13:15,YG010,2025-01-31 11:13:15,,True,admin
30,2025-01-31 11:13:18,YG015,2025-01-31 11:13:18,,True,admin
31,2025-01-31 11:13:18,YG016,2025-01-31 11:13:18,,True,admin
32,2025-01-31 11:13:19,YG003,2025-01-31 11:13:19,,True,admin
