youth_group_id,youth_group_social_media_id,platform,url
YG009,YGSM000001,instagram,https://www.instagram.com/latin_youthgroup/
YG002,YGSM000002,instagram,https://www.instagram.com/houson_youth/
YG002,YGSM000003,facebook,https://www.facebook.com/housonyouth?mibextid=ZbWKwL
YG002,YGSM000004,facebook,https://www.facebook.com/share/g/U1GpH95NxCNATZgV/?mibextid=K35XfP
YG002,YGSM000005,facebook,https://www.facebook.com/share/g/i9h4kyt9hhLg73jZ/?mibextid=K35XfP
YG002,YGSM000006,facebook,https://web.facebook.com/groups/255719651113841/discussion/preview
YG002,YGSM000007,facebook,https://www.facebook.com/share/g/DavWyhRLAwKEQTjX/?mibextid=K35XfP
YG007,YGSM000008,instagram,https://www.instagram.com/ajloun__youth/
YG007,YGSM000009,facebook,https://web.facebook.com/groups/1081317835628663
YG007,YGSM000010,instagram,https://www.instagram.com/al_e3dadi?igsh=MXd0ZGtqb3ZoYThwdA%3D%3D
YG007,YGSM000011,instagram,https://www.instagram.com/al_thanawi_?igsh=MWNrYzE2NWJ3NHk1aA%3D%3D
YG018,YGSM000012,instagram,https://www.instagram.com/anjarayouth1_/
YG012,YGSM000013,instagram,https://www.instagram.com/st.joseph.youth_mafraq/
YG012,YGSM000014,facebook,https://web.facebook.com/joseph.mafraq?mibextid=ZbWKwL&_rdc=1&_rdr
YG005,YGSM000015,instagram,https://www.instagram.com/shabibet_sweifieh/
YG005,YGSM000016,facebook,https://web.facebook.com/Youthswefyeh
YG021,YGSM000017,instagram,https://www.instagram.com/mysh_marjalhamam/
YG021,YGSM000018,facebook,https://www.facebook.com/shabebtmarjalhamam?mibextid=ZbWKwL
YG006,YGSM000019,instagram,https://www.instagram.com/saintpaulyouthjubeiha/
YG023,YGSM000020,instagram,https://www.instagram.com/shj.youth/
YG023,YGSM000021,facebook,https://web.facebook.com/YouthSHJ?mibextid=ZbWKwL&_rdc=1&_rdr
YG028,YGSM000022,instagram,https://www.instagram.com/jabal_amman_youth/
YG028,YGSM000023,facebook,https://web.facebook.com/profile.php?id=100094195044576&mibextid=ZbWKwL&_rdc=1&_rdr
YG019,YGSM000024,instagram,https://www.instagram.com/shabebet_alkarmel/
YG019,YGSM000025,facebook,https://web.facebook.com/shabebet.alkarmellll?mibextid=ZbWKwL&_rdc=1&_rdr
YG019,YGSM000026,facebook,https://web.facebook.com/hashimibara3em
YG004,YGSM000027,instagram,https://www.instagram.com/latin_marka_youth/
YG004,YGSM000028,facebook,https://web.facebook.com/profile.php?id=100063545075944&mibextid=ZbWKwL&_rdc=1&_rdr
YG024,YGSM000029,instagram,https://www.instagram.com/shoj_naur/
YG024,YGSM000030,facebook,https://web.facebook.com/shabebtna3oor?mibextid=ZbWKwL&_rdc=1&_rdr
YG030,YGSM000031,instagram,https://www.instagram.com/shabebet.yasou3.almalek/
YG030,YGSM000032,facebook,https://web.facebook.com/profile.php?id=100077461181750&mibextid=ZbWKwL&_rdc=1&_rdr
YG011,YGSM000033,instagram,https://www.instagram.com/de_la_salle_youth_jordan/
YG011,YGSM000034,facebook,https://web.facebook.com/lasalleyouth.jo?mibextid=ZbWKwL&_rdc=1&_rdr
YG017,YGSM000035,instagram,https://www.instagram.com/shabebet_salesian.jordan/
YG022,YGSM000036,instagram,https://www.instagram.com/ihm.youth.fuheis/
YG022,YGSM000037,facebook,https://web.facebook.com/IHMYouthFuheis
YG022,YGSM000038,linkedin,https://www.linkedin.com/company/ihm-youth-group-fuheis/
YG022,YGSM000039,facebook,https://web.facebook.com/groups/1098666126872561/?ref=share&mibextid=NSMWBT&_rdc=1&_rdr
YG015,YGSM000040,instagram,https://www.instagram.com/latin_salt_youth/
YG015,YGSM000041,facebook,https://web.facebook.com/latinsaltyouth?mibextid=ZbWKwL&_rdc=1&_rdr
YG013,YGSM000042,instagram,https://www.instagram.com/stotcjs_youth/
YG013,YGSM000043,facebook,https://web.facebook.com/profile.php?id=100069005581144
YG003,YGSM000044,instagram,https://www.instagram.com/shabebet.alrosol/
YG003,YGSM000045,facebook,https://www.facebook.com/shabebet.alrosol?mibextid=qi2Omg&rdid=UWeOsHJTKFPyVZ3M&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2FShRtmxThAWRF9EjA%2F%3Fmibextid%3Dqi2Omg
YG016,YGSM000046,instagram,https://www.instagram.com/shabeebadonorione/
YG016,YGSM000047,facebook,https://web.facebook.com/profile.php?id=100086454775296&mibextid=ZbWKwL&_rdc=1&_rdr
