youth_group_id,youth_group_patron,youth_group_short_name,parish_id,use_parish_logo,inherit_parish_social_media
YG027,مار يوسف,أدر,PA004,False,False
YG009,القديس جورج الشهيد,إربد,PA005,True,False
YG006,القديس بولس الرسول,الجبيهة,PA006,False,False
YG002,الحبل بلا دنس,الحصن,PA007,False,False
YG001,ارتفاع الصليب,الرميمين,PA009,False,False
YG016,دون أوريونه,الزرقاء الجديدة,PA002,False,False
YG008,القديس بيوس العاشر,الزرقاء الجنوبي,PA003,False,False
YG003,الرسل,الزرقاء الشمالي,PA010,False,False
YG017,دون بوسكو,السالزيان,PA022,False,False
YG015,انتقال السيدة,السلط,PA011,False,False
YG026,مار ميخائيل,السماكية,PA012,False,False
YG005,العذراء الناصرية,الصويفية,PA013,False,False
YG029,نجمة البحر,العقبة,PA014,True,True
YG022,قلب مريم الطاهر,الفحيص,PA001,False,False
YG020,سيدة الوردية,الكرك,PA016,True,False
YG014,,الكلدان,,False,False
YG030,يسوع الملك,المصدار,PA017,False,False
YG012,القديس يوسف,المفرق,PA018,False,False
YG019,سيدة الكرمل,الهاشمي الشمالي,PA023,False,False
YG025,مار إلياس,الوهادنة,PA019,True,True
YG023,قلب يسوع الأقدس,تلاع العلي,PA020,False,False
YG011,القديس يوحنا دي لا سال,جبل الحسين,PA021,False,False
YG028,مار يوسف,جبل عمان,PA024,False,False
YG013,القديسة تريزا الطفل يسوع,صافوط,PA026,False,False
YG007,القديس بولس الرسول,عجلون,PA027,True,False
YG018,سيدة الجبل,عنجرة,PA028,True,False
YG010,القديس يوحنا المعمدان,مادبا,PA029,False,False
YG004,العذراء أم الكنيسة,ماركا,PA030,True,False
YG021,شهداء الأردن,مرج الحمام,PA032,False,False
YG024,قلب يسوع الأقدس,ناعور,PA015,False,False
